Date,Location,Raw,Issue date
JUNE 10,HARLESTON,"JUNE 10. HARLESTON, Open-air Dance at ""Caltofts."" Profits to be divided at the discretion of the Committee between National and local funds for Women's Suffrage.","JUNE 10, 1909"
JUNE 10,"NORTH OF ENGLAND SOCIETY, 85, Deansgate Arcade","NORTH OF ENGLAND SOCIETY, Monthly Meeting, 85, Deansgate Arcade. Miss Ashton, ""At Home.""","JUNE 10, 1909"
JUNE 14,"BIRMINGHAM, Midland Institute","JUNE 14. BIRMINGHAM, Midland Institute. Speaker, Miss Sadler.","JUNE 10, 1909"
JUNE 14,"BIRMINGHAM, Moseley","BIRMINGHAM SOCIETY, Moseley, Drawing Room Meeting. Speakers, The Hon. Mrs. Bertrand Russell, Lady Isabel Margesson.","JUNE 10, 1909"
JUNE 14,"LONDON (Beckenham), 16, Sussex Square, W","LONDON (Beckenham), 16, Sussex Square, W. Hostess, Mrs. Thomasson. Speakers, Mrs. Rackham, Miss Abadam.","JUNE 10, 1909"
JUNE 15,"BRIGHTON AND HOVE, Forfar's Restaurant, Western Road","JUNE 15. BRIGHTON AND HOVE, Meeting for Members and their Friends, at Forfar's Restaurant, Western Road.","JUNE 10, 1909"
JUNE 15,"BIRMINGHAM, 52, Queen Street, Wolverhampton","BIRMINGHAM SOCIETY, Wolverhampton, 52, Queen Street. Speaker, Miss Wodehouse.","JUNE 10, 1909"
JUNE 16,"BIRMINGHAM, Kings Norton","JUNE 16. BIRMINGHAM SOCIETY, Open-air Meeting, Kings Norton. Speakers, Mrs. Cooper, Miss Gardner.","JUNE 10, 1909"
JUNE 16,BRISTOL,"BRISTOL, Drawing-room Meeting. Hostesses, The Misses Sturge. Chair, Miss Talbot. Speaker, Mrs. Rackham.","JUNE 10, 1909"
JUNE 16,BRISTOL,"BRISTOL, Drawing-room Meeting. Hostesses, The Misses Tanner. Speaker, Mrs. Rackham.","JUNE 10, 1909"
JUNE 17,BRISTOL,"JUNE 17. BRISTOL, Drawing-room Meeting. Speaker, Mrs. Rackham.","JUNE 10, 1909"
JUNE 17,"LLANGOLLEN, Town Hall","LLANGOLLEN, Public Meeting, Town Hall. Speakers, Mrs. Cobden Sanderson, Mr. W. Lyon Blease L.L.M., Miss Helga Gill.","JUNE 10, 1909"
JUNE 17,"LONDON (Islington), 186, Highbury New Park","LONDON (Islington), Drawing-room Meeting, Women only, 186, Highbury New Park. Hostess, Miss Theodora Johnson.","JUNE 10, 1909"
