Date,Location,Raw,Time,Speakers,Hosts,Issue date
SEPTEMBER 16,"Stevenson Square, Manchester",Manchester Stevenson Square - Open - air Demonstration .,4.0,,,1911-09-14
SEPTEMBER 16,"Glen Albyn, Whaley Bridge","Whaley Bridge - Glen Albyn - Garden Party - Mrs Barnes , Miss Walshe .",,"['Mrs Barnes', 'Miss Walshe']",,1911-09-14
SEPTEMBER 18,"Moston, Manchester",Manchester Moston Miss M. Barnes Robertson .,3.0,"['Miss M. Robertson', 'Barnes']",,1911-09-14
SEPTEMBER 18,"The Pavilion, Llangollen",Llangollen - The Pavilion - Miss Rathbone .,,['Miss Rathbone'],,1911-09-14
SEPTEMBER 20,"Holy Trinity Schools, Moston, Manchester",Manchester Holy Trinity Schools . Moston - Miss M. Robertson .,8.30,['Miss M. Robertson'],,1911-09-14
SEPTEMBER 20,"3, Berkeley Square, Bristol","Bristol - 3 , Berkeley Square - Working Party .",3.0,,,1911-09-14
SEPTEMBER 20,"Fairhaven Institute, Wallasey and Wirral",Wallasey and Wirral - Fairhaven Institute - Annual Meeting- Miss Eskrigge .,8.0,['Miss Eskrigge'],,1911-09-14
SEPTEMBER 21,"Felixstowe, The Park, Nottingham","Nottingham - Felixstowe , The Park - Garden Fête and Sale- Mrs. Despard .",3.0,['Mrs. Despard'],,1911-09-14
SEPTEMBER 26,"Christ Church Parish Room, Tunbridge Wells","Tunbridge Wells - Christ Church Parish Room - Mrs . Rogers ' "" At Home "" -Rev . C. Hinscliff .",3.0,['Rev. C. Hinscliff'],['Mrs. Rogers'],1911-09-14
SEPTEMBER 27,"Small Public Hall, Croydon","Croydon Small Public Hall - Reception - Miss F. de G. Merrifield , Miss Norah O'Shea .",8.0,"['Miss F. de G. Merrifield', ""Miss Norah O'Shea""]",,1911-09-14
SEPTEMBER 30,Howard Park Letchworth,"Letchworth - Howard Park Joint Demonstration -N . U. Speakers : Miss Abadam , J. Clayton , Esq . , and others .",,"['Miss Abadam', 'J. Clayton, Esq.']",,1911-09-14
SEPTEMBER 25-29,Bredbury Romiley,Bredbury Romiley and Aldersley . Special Open - air Meetings Mrs. Aldersley .,3.30,['Mrs. Aldersley'],,1911-09-14
SEPTEMBER 14,"Herbert Road Co - operative Reading Room, Plumstead","Plumstead , Herbert Road Co - operative Reading Room , Women's Co - op . Guild , Suffrage Meeting .",,,,1911-09-14
SEPTEMBER 18,"Christian Institute Hall, Falkirk","Falkirk , Christian Institute Hall , Dr. Elsie Inglis , Mrs. H. M. Ross ( chair ) .",3.30,['Dr. Elsie Inglis'],,1911-09-14
