Date,Location,Raw,Time,Speakers,Description,Hosts,Issue date
September 21,"Felixstowe, The Park","Nottingham - Felixstowe, The Park - Garden Fête and Sale- Mrs. Despard. 3.0",3:00 PM,,,,1911-09-21
September 22,"Café, Northumberland Street","Newcastle - on - Tyne - Café, Northumberland Street - C.L.W.S . Drawing - room Meeting - Miss A. Maude Royden, Rev. C. G. Hall. Chair, Rev. J. T. Inskip.",,"['Miss A. Maude Royden', 'Rev. C. G. Hall']",,,1911-09-21
September 22,Lovaine Hall,"Newcastle - on Tyne - Lovaine Hall - Miss A. Maude Royden, J. H., Edgar, Esq. Chair, Mrs. Spence Watson. 8.0",8:00 PM,"['Miss A. Maude Royden', 'J. H. Edgar, Esq']",,,1911-09-21
September 24,"Cross Platts Park, Beeston","Leeds Cross Platts Park, Beeston - Miss I. O. Ford, Mrs. Renton, Miss Davenport. 11.0",11:00 AM,"['Miss I. O. Ford', 'Mrs. Renton', 'Miss Davenport']",,,1911-09-21
September 25,"16, New York Street","Leeds - 16, New York Street - Miss I. O. Ford, Mrs. Renton, Miss Davenport. 7.30",7:30 PM,"['Miss I. O. Ford', 'Mrs. Renton', 'Miss Davenport']",,,1911-09-21
September 25,St. Andrew's Parish Rooms,"Penrith St. Andrew's Parish Rooms "" At Home "" -Miss Norma Smith, Mrs. Crackanthorpe (chair). 4.0",4:00 PM,['Miss Norma Smith'],"""At Home""",['Mrs. Crackanthorpe'],1911-09-21
September 25,Temperance Hall,"Derby - Temperance Hall - Lady Willoughby de Broke, Dr. C. W. Saleeby. 8.0",8:00 PM,"['Lady Willoughby de Broke', 'Dr. C. W. Saleeby']",,,1911-09-21
September 26,Christ Church Parish Room,"Tunbridge Wells - Christ Church Parish Room - Mrs. Rogers' "" At Home "" -Rev. C. Hinscliff. 3.0",3:00 PM,['Rev. C. Hinscliff'],"""At Home""",['Mrs. Rogers'],1911-09-21
September 26,Gt. Dockray,Penrith Gt. Dockray - Open - air Meeting - Miss Norma Smith. 8.0,8:00 PM,['Miss Norma Smith'],,,1911-09-21
September 26,"111A, Whiteladies Road","Bristol - 111A, Whiteladies Road - Lecture on ""Superstition"" ― 5.0
Miss Tanner.",5:00 PM,['Miss Tanner'],"Lecture on ""Superstition""",,1911-09-21
