Date,Location,Raw,Time,Speakers,Hosts,Description,Issue date
September 28,"E. Ham: St. Barnabas' Parish Hall, Rosebery Avenue","Sept. 28.-E. Ham: St. Barnabas' Parish Hall, Rosebery Avenue, 3 p.m. Miss Haslam, Rev. C. Hinscliff.",3 p.m.,,,,1911-09-28
September 28,Leeds,"September 28. Leeds Beverley Street Council School - Miss I. O. Ford, Mrs. Renton, Miss Davenport.",,"['Miss I. O. Ford', 'Mrs. Renton', 'Miss Davenport']",,,1911-09-28
September 28,Toddington Park,"Toddington Park - Mrs. Mercer's Drawing-room Meeting - The Lady Frances Balfour, Miss Dorothy Edwards, Col. Mercer (chair).",,"['Lady Frances Balfour', 'Miss Dorothy Edwards']",['Mrs. Mercer'],,1911-09-28
September 29,Chorley Wood: Mrs. Findlay's Garden,"Sept. 29. - Chorley Wood: Mrs. Findlay's Garden Meeting, ""Roanoke,"" Station Road, 3-15. Mrs. Robinson (Watford), Rev. C. Hinscliff.",3-15 p.m.,,,,1911-09-28
September 29,"Leeds: Armley Temperance Hall, Wesley Road","September 29. Leeds - Armley Temperance Hall, Wesley Road - Miss I. O. Ford, Mrs. Renton, Miss Davenport.",,"['Miss I. O. Ford', 'Mrs. Renton', 'Miss Davenport']",,,1911-09-28
September 29,"Birmingham - 10, Easy Row","Birmingham - 10, Easy Row - Franchise Club.",,,,Franchise Club,1911-09-28
September 29,Barnard Castle - Witham Hall,Barnard Castle - Witham Hall - Miss Helen Fraser.,,['Miss Helen Fraser'],,,1911-09-28
September 29,Sheffield Gleadless Road Infant School,"Sheffield Gleadless Road Infant School - Meeting of Women Teachers Mrs. Sinclair, Mrs. Beeny.",7.30 p.m.,"['Mrs. Sinclair', 'Mrs. Beeny']",,Meeting of Women Teachers,1911-09-28
September 30,Letchworth,September 30. Letchworth. 3.30 Afternoon,3.30 p.m.,,,,1911-09-28
October 2,Bournemouth - Prince's Hall (Grand Hotel),October 2. Bournemouth - Prince's Hall (Grand Hotel) -The Lady Frances Balfour.,,['Lady Frances Balfour'],,,1911-09-28
October 2,Colwyn Bay - Café Royal,"Colwyn Bay - Café Royal - Miss Macpherson, Dr. Lilian Blake (chair).",,['Miss Macpherson'],,,1911-09-28
October 2,Sheffield - Montgomery Hall,"Sheffield - Montgomery Hall - Mrs. Philip Snowden, Dr. Helen Wilson (chair).",,['Mrs. Philip Snowden'],,,1911-09-28
October 2,Uckfield - Public Hall,"Uckfield - Public Hall Lecture on Woman Suffrage - Lyon Blease, Esq., Lady Brassey (chair).",,"['Lyon Blease, Esq.']",,Lecture on Woman Suffrage,1911-09-28
October 2,"Manchester - 5, Parkfield Road, Didsbury","Manchester Society - 5, Parkfield Road, Didsbury - Mrs. Herford's American Tea (in aid of funds).",3.30-6.0 p.m.,,['Mrs. Herford'],American Tea (in aid of funds),1911-09-28
October 2,"Birmingham - Women's Adult School, George Road","Birmingham - Women's Adult School, George Road (by kind permission of Mrs. Priestman) -Mrs. Ring.",,['Mrs. Ring'],,,1911-09-28
October 2,Uxbridge - Brookfield Restaurant,Uxbridge - Brookfield Restaurant - Social Evening.,7.30-10.0 p.m.,,,Social Evening,1911-09-28
October 2,Berkhamsted - Progress Hall,Berkhamsted - Progress Hall - Mrs. Rackham.,7.30 p.m.,['Mrs. Rackham'],,,1911-09-28
October 3,"Central Sussex - St. John's Institute, Burgess Hill","October 3. Central Sussex - St. John's Institute, Burgess Hill - Lord Robert Cecil, K.C., The Countess Brassey (chair).",8.15 p.m.,['Lord Robert Cecil'],,,1911-09-28
October 3,Manchester - Albert Hall,"Public Meeting In the Albert Hall, Manchester, Tuesday, October 3rd, AT EIGHT P.M., TO PROTEST AGAINST THE ABOLITION OF THE WORK OF WOMEN AT THE PITBROWS, And to Demand the Franchise. SPEAKERS THE MAYOR AND MAYORESS OF WIGAN. MRS. NANCY DISLEY (Pitbrow Worker) MRS. ELIZA NEAL (Pitbrow Worker) MISS KING MAY MISS REDDISH MISS GORE-BOOTH MRS. DICKENSON MISS ROPER.",8 p.m.,"['The Mayor and Mayoress of Wigan', 'Mrs. Nancy Disley', 'Mrs. Eliza Neal', 'Miss King-May', 'Miss Reddish', 'Miss Gore-Booth', 'Mrs. Dickenson', 'Miss Roper']",,"To protest against the abolition of the work of women at the pitbrows, and to demand the franchise.",1911-09-28
October 3,Birmingham - Smethwick Town Hall,"Birmingham - Smethwick Town Hall - Miss A. Maude Royden, 8.0 Mrs. Ring, Fred Hughes, Esq. (chair).",8 p.m.,"['Miss A. Maude Royden', 'Mrs. Ring']",,,1911-09-28
October 3,"Solihull - Norfolk House, Dorridge","Solihull Society - Norfolk House, Dorridge Mrs. Snushall's Drawing-room Meeting - Miss A. Maude Royden.",3 p.m.,['Miss A. Maude Royden'],['Mrs. Snushall'],,1911-09-28
October 3,Hove,"Hove Miss Bryan's Drawing-room Meeting to Hove Council Teachers - Miss M. F. Basden, E. Hackforth, Esq.",,"['Miss M. F. Basden', 'E. Hackforth, Esq.']",['Miss Bryan'],Drawing-room meeting to Hove Council Teachers,1911-09-28
October 3,Gorton Town Hall,Gorton Town Hall - Public Meeting.,7:30 p.m.,,,Public Meeting,1911-09-28
