Date,Location,Raw,Description,Issue date
OCTOBER 5,"Bristol - 5, Berkeley Square","Bristol - 5 , Berkeley Square - Cake , Jam and Sweet Sale , 11-1.30 and 3-8","Cake, Jam and Sweet Sale, 11-1.30 and 3-8","OCTOBER 5, 1911"
OCTOBER 5,Leamington - Birch's Music Rooms,Leamington - Birch 's Music Rooms - Warwick and Leamington Franchise Club .,,"OCTOBER 5, 1911"
OCTOBER 5,Stocksfield,Stocksfield Mrs. Parmley Graham 's Meeting - Mrs . Lewis .,,"OCTOBER 5, 1911"
OCTOBER 5,Sutton Coldfield,"Sutton Coldfield Town Hall - Mrs . Philip Snowden , Mrs. Ring , C. H. Brampton , E.sq , J.P. ( chair )",,"OCTOBER 5, 1911"
OCTOBER 5,Scarborough,Scarborough Grand Hotel - Reception .,,"OCTOBER 5, 1911"
OCTOBER 6,Birmingham,"Birmingham St. Mary 's Vicarage , Bearwood - Mrs . Wynne 's Draw- ing - room meeting - Miss L. R. Taylor , Mrs. Ring .",,"OCTOBER 5, 1911"
OCTOBER 6,Scarborough - Old Town Hall,Scarborough - Old Town Hall - Provincial Council Meeting .,,"OCTOBER 5, 1911"
OCTOBER 6,Scarborough,"Scarborough Old Town Hall - Mass Meeting - Lord Lytton , Coun- cillor M. Ashton .",,"OCTOBER 5, 1911"
OCTOBER 6,Gateshead,"Gateshead - Mrs . Hutchinson 's "" Dicken 's Evening . "" Admission 1s .",,"OCTOBER 5, 1911"
OCTOBER 6,Herts,Herts - Dr . Mary Spence 's Meeting for Nurses - Miss Garrett Anderson .,,"OCTOBER 5, 1911"
OCTOBER 7,Birmingham,"Birmingham - Warley Woods Men 's Liberal Association - Council Schools , Barelay Road - Mrs . Osler , Mrs. Ring ( chair ) .",,"OCTOBER 5, 1911"
OCTOBER 7,Solihull - Public Hall,"Solihull - Public Hall - Miss Frances Sterling , Mrs. Osler , The Hon . 8.0 Mrs. Basil Hanbury ( chair ) .",,"OCTOBER 5, 1911"
OCTOBER 7,Middlesbrough - Girls ' High School Hall,"Middlesbrough - Girls ' High School Hall "" Sanitation in the Home and Workplace "" -Miss Irene Cox .",,"OCTOBER 5, 1911"
OCTOBER 9,"Birmingham - Midland Institute, Paradise Street","Birmingham - Midland Institute , Paradise Street - H . N. Brails- ( In- ford , Esq . , Councillor Freeman ( chair ) . conjunction with the W.S.P.U. ) .",,"OCTOBER 5, 1911"
OCTOBER 9,Solihull and District - Henley - in - Arden Institute,"Solihull and District - Henley - in - Arden Institute Miss Frances Sterling , Miss Morrison , Lady Willoughby de 8.0 Broke ( chair ) .",,"OCTOBER 5, 1911"
OCTOBER 9,Uckfield,"Uckfield Public Hall - Lecture on Woman Suffrage - Miss Abadam , 8.0 F. Buxton , Esq . ( chair ) .",,"OCTOBER 5, 1911"
