Date,Location,Raw,Speakers,Time,Description,Hosts,Issue date
November 23,Salford - Town Hall,"Salford - Town Hall - Rt. Hon. Lord Lytton, Miss M. Ashton, M.A., G. G. Armstrong, Esq., The Mayor of Salford (chair). 8.0","['Lord Lytton', 'Miss M. Ashton', 'G. G. Armstrong']",8.0,,,1911-11-23
November 23,Grantham - Westgate Hall,"Grantham - Westgate Hall - Mrs. Fawcett, LL.D. 8.0",['Mrs. Fawcett'],8.0,,,1911-11-23
November 23,Huddersfield - Parochial Hall,"Huddersfield - Parochial Hall- ""Report of International Conference,"" Mrs. Studdard, Miss Siddon (chair).",['Mrs. Studdard'],,,,1911-11-23
November 23,Plymouth - The Corn Exchange,"Plymouth - The Corn Exchange - Mrs. Philip Snowden, Sir John Cockburn. 3.30 18.0","['Mrs. Philip Snowden', 'Sir John Cockburn']",3.30,,,1911-11-23
November 23,"Birmingham - 10, Easy Row","Birmingham - 10, Easy Row - Sale of Christmas Gifts and Literature, 2-5",,2-5,,,1911-11-23
November 23,Norwich - Thatched Assembly Rooms,"Norwich - Thatched Assembly Rooms - Committee ""At Home"" - Theatricals.",,,"Committee ""At Home""",,1911-11-23
November 23,Bridlington - Oberon Café,Bridlington - Oberon Café - Whist Drive.,,,Whist Drive,,1911-11-23
November 23,Bradford - G.F.S. Lodge,Bradford - G.F.S. Lodge - Social evening.,,,Social evening,,1911-11-23
November 23,"Rochdale Provident Hall, Lord Street","Rochdale Provident Hall, Lord Street - The Lady Beatrice Kemp, Mrs. Lees (of Oldham), and others. N. Cocke-shutt, Esq. (chair).","['Lady Beatrice Kemp', 'Mrs. Lees']",,,,1911-11-23
November 23,Rickmansworth - Town Hall,"Rickmansworth - Town Hall - Miss Gill, Miss Campbell (chair).",['Miss Gill'],,,,1911-11-23
November 24,Bristol - Fine Arts Academy,"Bristol - Fine Arts Academy - Grand Forest of Christmas Trees- Side Shows, etc.",,2.30-10,"Grand Forest of Christmas Trees- Side Shows, etc.",,1911-11-23
November 24,Nottingham - Circus Street Hall,"Nottingham - Circus Street Hall - Hostesses, Mrs. Hoskyns, Lady Maud Rolleston, Mrs. Fawcett",,,,"['Mrs. Hoskyns', 'Lady Maud Rolleston', 'Mrs. Fawcett']",1911-11-23
November 24,Gateshead - Co-operative Hall,"Gateshead - Co-operative Hall - Councillor Margaret Ashton, Rev. H. C. Windley (chair).",['Councillor Margaret Ashton'],,,,1911-11-23
November 24,Southport Rountrees' Café,"Southport Rountrees' Café - Cecil Chapman, Esq.",['Cecil Chapman'],,,,1911-11-23
November 24,Falmouth - Drill Hall,Falmouth - Drill Hall - Mrs. Philip Snowden.,['Mrs. Philip Snowden'],,,,1911-11-23
November 24,Barnsley - Arcade Hall,"Barnsley - Arcade Hall - Actresses' Franchise League Performance, ard Speech by Miss I. O. Ford.",['Miss I. O. Ford'],,Actresses' Franchise League Performance,,1911-11-23
November 24,Wolverhampton Saunders' Café,"Wolverhampton Saunders' Café - Meeting for Women Teachers- Mrs. Ring, Miss Pearson (chair).",['Mrs. Ring'],,Meeting for Women Teachers,,1911-11-23
November 24,Tynemouth - Miss Atkinson's Drawing-room,Tynemouth - Miss Atkinson's Drawing-room Meeting - Miss Margaret Ashton.,['Miss Margaret Ashton'],,,,1911-11-23
November 24,Solihull Mrs. Hosking's,"Solihull Mrs. Hosking's Meeting for Teachers. ""Education and the Vote"" -Miss Earl, Miss Bowler,","['Miss Earl', 'Miss Bowler']",,"Meeting for Teachers. ""Education and the Vote""",,1911-11-23
November 24,Newport Public Hall,Newport Public Hall - Miss Helen Fraser. 6.0,['Miss Helen Fraser'],6.0,,,1911-11-23
November 24,Colchester - Masonic Hall,Colchester - Masonic Hall - Mrs. Heitland.,['Mrs. Heitland'],,,,1911-11-23
