Date,Location,Raw,Description,Speakers,Time,Issue date
JANUARY 25,"Rochdale Masonic Rooms, Ann Street","Rochdale Masonic Rooms, Ann Street Social gathering - Mrs. Chew. 7.30",Social gathering,['Mrs. Chew'],7.30,"JANUARY 25 , 1912"
JANUARY 25,"King's Coffee House, Kuntsford","Kuntsford - King's Coffee House- ""At Home"" and display of bazaar goods - Speaker, Miss Manning. 7.30","""At Home"" and display of bazaar goods",['Miss Manning'],7.30,"JANUARY 25 , 1912"
JANUARY 25,"Mrs. English's drawing-room, Peterborough",Peterborough Mrs. English's drawing - room meeting Mrs. Renton .,,['Mrs. Renton'],,"JANUARY 25 , 1912"
JANUARY 25,"10, Easy Row, Birmingham","Birmingham - 10 , Easy Row - Speakers ' class",Speakers' class,,,"JANUARY 25 , 1912"
JANUARY 25,"9, Duke Street, Reading","Reading - 9 , Duke Street - Mrs. Robie Uniacke",,['Mrs. Robie Uniacke'],,"JANUARY 25 , 1912"
JANUARY 25,"Craig-y-don Boarding House, Llandudno","Llandudno - Craig - y - don Boarding House - Annual meeting ""Wages and the Vote"" - Miss Crosfield, C. Y. Montgomery","Annual meeting ""Wages and the Vote""","['Miss Crosfield', 'C. Y. Montgomery']",,"JANUARY 25 , 1912"
JANUARY 25,"Mrs. Swiney's drawing-room, Cheltenham",Cheltenham - Mrs. Swiney's drawing - room meeting - Miss K. M. S. Robertson.,,['Miss K. M. S. Robertson'],,"JANUARY 25 , 1912"
JANUARY 25,"Wesley Hall, Shildon","Shildon - Wesley Hall - Debate - Miss C. M. Gordon, M.A., v. Miss Cordelia Moir. Evening",Debate,"['Miss C. M. Gordon', 'Miss Cordelia Moir']",Evening,"JANUARY 25 , 1912"
JANUARY 25,"9, Duke Street, Reading","Reading - 9 , Duke Street - Mrs. Cooper, Miss Fielden.",,"['Mrs. Cooper', 'Miss Fielden']",,"JANUARY 25 , 1912"
JANUARY 25,"Progress Hall, Berkhamsted",Berkhamsted - Progress Hall - Mrs. Rogers. 8.0,,['Mrs. Rogers'],8.0,"JANUARY 25 , 1912"
JANUARY 26,"Sailors' Institute, Goole","Goole Sailors' Institute Councillor Margaret Ashton, M.A., Dr. Mary Murdoch (chair). 3.15",,"['Councillor Margaret Ashton', 'Dr. Mary Murdoch']",3.15,"JANUARY 25 , 1912"
JANUARY 26,"The Dome, Brighton","Brighton - The Dome - Mrs. Fawcett, Lord Robert Cecil, Hon. Gordon, M.P. - Lord Aberconway (chair). 8.0",,"['Mrs. Fawcett', 'Lord Robert Cecil', 'Hon. Gordon']",8.0,"JANUARY 25 , 1912"
JANUARY 27,"Café Orient, Preston",Preston - Café Orient Monthly Suffrage play.,Monthly Suffrage play,,,"JANUARY 25 , 1912"
JANUARY 27,"Mrs. Mackenzie's drawing-room, Cheltenham","Cheltenham - Mrs. Mackenzie's drawing - room meeting - Miss K. M. S. Robertson, Miss E. S. Robertson.",,"['Miss K. M. S. Robertson', 'Miss E. S. Robertson']",,"JANUARY 25 , 1912"
JANUARY 27,"Queen's Hall, Clifton, Bristol","Bristol Queen's Hall, Clifton - Business Meeting 2.30 Annual Meeting - Dr. Mary Morris, Professor Skemp (chair). 3.0","Business Meeting, Annual Meeting","['Dr. Mary Morris', 'Professor Skemp']","2.30, 3.0","JANUARY 25 , 1912"
JANUARY 27,"9, Duke Street, Reading","Reading - 9, Duke Street Mrs. Cooper, ""At Home"" - Miss Fielden. 8.15","""At Home""","['Mrs. Cooper', 'Miss Fielden']",8.15,"JANUARY 25 , 1912"
JANUARY 27,"Barnfield Hall, Exeter","Exeter - Barnfield Hall - Lady Willoughby de Broke, Rev. C. Hinscliff - Sir Robert Newman, Bart. (chair). 8.0",,"['Lady Willoughby de Broke', 'Rev. C. Hinscliff']",8.0,"JANUARY 25 , 1912"
JANUARY 27,"Theatre Plain, Norwich",Norwich - Theatre Plain - Miss Wise's meeting for nurses - Miss E. Ward - Dr. Mary Bell (chair).,meeting for nurses,['Miss E. Ward'],,"JANUARY 25 , 1912"
