Date,Location,Raw,Speakers,Time,Hosts,Issue date
APRIL 11,Bexhill - onSea - Victoria Hall,"Bexhill - onSea - Victoria Hall - Lecture on "" Nor- way "" -Mrs . Strickland",['Mrs. Strickland'],,,1912-04-11
APRIL 11,Bath - South Stoke Picnic Chambers,Bath - South Stoke Picnic Chambers - Miss John- ston,['Miss Johnston'],,,1912-04-11
APRIL 11,"Dublin - 33, Molesworth Street","IRELAND . April 11 . Dublin - 33 , Molesworth Street - Local Government mittee meeting 11.30 - Miss C. Corbett , B.A. , will speak at 12.0",['Miss C. Corbett'],12.0,,1912-04-11
APRIL 12,Cheltenham - Town Hall,"APRIL 12 Cheltenham - Town Hall - Canon Talbot , Miss Nina Boyle , Mr. Agg - Gardner , M.P. ( chair )","['Canon Talbot', 'Miss Nina Boyle', 'Mr. Agg-Gardner']",,,1912-04-11
APRIL 12,"Brighton - Y.M.C.A . Hall, Old Steine","Brighton - Y.M.C.A . Hall , Old Steine - Brighton and Hove Committee "" At Home "" - Mrs. Corbett Ashby 8.0",['Mrs. Corbett Ashby'],8.0,['Brighton and Hove Committee'],1912-04-11
APRIL 12,Huntingdon - Trinity Union Church,Huntingdon - Trinity Union Church hood - Mrs . Rackham 8.0,['Mrs. Rackham'],8.0,,1912-04-11
APRIL 13,Scarborough - St. Nicholas House,APRIL 13 . Scarborough - St . Nicholas House - Whist Drive 3,,3,,1912-04-11
APRIL 15,Birmingham - Farm Street Women's,APRIL 15 . Birmingham - Farm Street Women's Mrs. Ring 7.30,['Mrs. Ring'],7.30,,1912-04-11
APRIL 15,Shiffnal - Young Liberals,Shiffnal - Young Liberals - Mrs . Osler 8.0,['Mrs. Osler'],8.0,,1912-04-11
APRIL 15,Rochdale Provident Hall,"APRIL 15 . Rochdale Provident Hall - Miss A. Maude Royden , The Lady Beatrice Kemp ( chair ) 7.30","['Miss A. Maude Royden', 'The Lady Beatrice Kemp']",7.30,,1912-04-11
APRIL 15,"Rochdale "" Beechwood ""","Rochdale "" Beechwood "" -drawing - room meeting 8.0",,8.0,,1912-04-11
APRIL 15,Chester - le - Street - Mechanic's Hall,"Chester - le - Street - Mechanic's Hall - Mrs . P. Snowden , Viscountess Hawick ( chair ) , Mr. J. W. Taylor , M.P. 7.30","['Mrs. P. Snowden', 'Viscountess Hawick', 'Mr. J. W. Taylor']",7.30,,1912-04-11
APRIL 16,"Newcastle - on - Tyne - 27, Ridley Place","APRIL 16 Newcastle - on - Tyne - 27 , Ridley Place - Suffrage choir practice , conducted by Mrs. Bellas Simpson",['Mrs. Bellas Simpson'],,,1912-04-11
APRIL 16,Shildon - Dean Street Schools,"Shildon - Dean Street Schools - Mrs . P. Snowden , Miss Lucas ( chair ) 7.30","['Mrs. P. Snowden', 'Miss Lucas']",7.30,,1912-04-11
APRIL 17,"Nottingham - Office, 54, Long Row","APRIL 17 . Nottingham - Office , 54 , Long Row - Whist Drive admission 6d .",,,,1912-04-11
APRIL 17,Seaton Oarew - Café - Miss Tilby's drawing - room,Seaton Oarew - Café - Miss Tilby's drawing - room meeting - Mrs . Rackham,['Mrs. Rackham'],,,1912-04-11
APRIL 17,"Sunderland - Bede Hall, Burdon Road","Sunderland - Bede Hall , Burdon Road - Mrs . Rack- ham , Councillor Hartley French ( chair ) 8.0","['Mrs. Rackham', 'Councillor Hartley French']",8.0,,1912-04-11
APRIL 17,Alderley Edge - Public Hall,"Robertson , Alderley Edge - Public Hall - Miss M Bath 3.0",['Miss M Bath'],3.0,,1912-04-11
APRIL 17,Newcastle - on - Tyne - Lovaine Hall,"Newcastle - on - Tyne - Lovaine Hall Shop Assistants ' Meeting - Mrs . Racham , Dr. Ethel Williams ( chair ) 8.0","['Mrs. Racham', 'Dr. Ethel Williams']",8.0,,1912-04-11
APRIL 17,Tynemouth St. Oswin's Hall,Tynemouth St. Oswin's Hall - Mrs . Snowden 7.30,['Mrs. Snowden'],7.30,,1912-04-11
APRIL 17,Wallsend - Café - Miss Fenwick's drawing - room,Wallsend - Café - Miss Fenwick's drawing - room meet- ing - Mrs . Rackham,['Mrs. Rackham'],,,1912-04-11
APRIL 17,Leamington The Winter Hall,"Leamington Franchise Fete The Winter Hall- Opened by Countess of Selborne , Mr. F. R. Benson ( chair ) 2.30","['Countess of Selborne', 'Mr. F. R. Benson']",2.30,,1912-04-11
APRIL 17,"Worthing- "" At Home "" -31, Warwick Street","Worthing- "" At Home "" -31 , Warwick Street - Mrs . Tuffley Grimsdale ( hostess ) , Mrs. Robertson ( Women's Co - operative Guild ) 8.0",,8.0,"['Mrs. Tuffley Grimsdale', 'Mrs. Robertson']",1912-04-11
