Date,Location,Raw,Speakers,Description,Time,Hosts,Issue date
MAY 5,Shrewsbury - Market Hall,Shrewsbury - Market Hall - Mrs. Mayer,['Mrs. Mayer'],,,,"MAY 5 , 1910"
MAY 5,"Dublin
35, Molesworth Street","Dublin 35, Molesworth Street
Committee Meeting",,Committee Meeting,,,"MAY 5 , 1910"
MAY 5,"Edinburgh
Mrs. Cumming-Craig's","Edinburgh
Mrs. Cumming-Craig's Drawing-room Meeting -- Miss
11.30 Alice Low",['Miss Alice Low'],Drawing-room Meeting,11.30,,"MAY 5 , 1910"
MAY 5,Sutton Coldfield,"Sutton Coldfield
Public Meeting - Miss Fraser",['Miss Fraser'],Public Meeting,,,"MAY 5 , 1910"
MAY 5,"Erdington
",Erdington - Drawing-room Meeting - Mrs. C. H. Pugh,,Drawing-room Meeting,,['Mrs. C. H. Pugh'],"MAY 5 , 1910"
MAY 5,"North Herts
Watford - Masonic Hall","North Herts
Watford - Masonic Hall
Mrs. Workman ""Women's Suffrage and Education .""",['Mrs. Workman'],,8.0,,"MAY 5 , 1910"
MAY 5,Bramhall,"Bramhall
Drawing-room Meeting",,Drawing-room Meeting,3.15,,"MAY 5 , 1910"
MAY 5,Shrewsbury,"Shrewsbury
Public Meeting
Mrs. Mayer",['Mrs. Mayer'],Public Meeting,3.30,,"MAY 5 , 1910"
MAY 5,London (Camberwell) - Peckham Rye,London (Camberwell) -Peckham Rye - Miss J. Thomson .,['Miss J. Thomson'],,,,"MAY 5 , 1910"
MAY 5,London,"London
At Home to the Selling Corps",,At Home to the Selling Corps,3.0,,"MAY 5 , 1910"
MAY 6,"Selly Oak
Mrs. Henry Lloyd Wilson's","Selly Oak
Mrs. Henry Lloyd Wilson's Drawing-room Meeting
Miss Fraser",['Miss Fraser'],Drawing-room Meeting,3.15,,"MAY 5 , 1910"
MAY 6,Selly Oak - The Institute,Selly Oak - Public Meeting - The Institute - Miss Fraser,['Miss Fraser'],Public Meeting,,,"MAY 5 , 1910"
MAY 6,"Edinburgh
40, Shandwick Place","Edinburgh - 40, Shandwick Place - Miss Margaret Drummond",['Miss Margaret Drummond'],,8.0,,"MAY 5 , 1910"
MAY 6,Salford,"Salford
Members' Rally",,Members' Rally,4.0 and 8.0,,"MAY 5 , 1910"
MAY 7,Edgbaston - Westbourne,Edgbaston - Westbourne - For Men - Mr. Cholmeley and Miss Fraser,"['Mr. Cholmeley', 'Miss Fraser']",For Men,6.45,,"MAY 5 , 1910"
MAY 7,London (Highgate) - Outside Tufnell Park Tube Station,"London (Highgate) -Open-air Meeting - Outside Tufnell Park Tube Station - J. Y. Kennedy, J. G. Rogers","['J. Y. Kennedy', 'J. G. Rogers']",Open-air Meeting,8.30,,"MAY 5 , 1910"
MAY 8,London - Hyde Park,London - Hyde Park - Men's League,,Men's League,2.30,,"MAY 5 , 1910"
MAY 9,London (Highgate) - Spears Memorial Hall,London (Highgate) -Spears Memorial Hall - Miss Mason's Lecture,,Miss Mason's Lecture,8.0,,"MAY 5 , 1910"
MAY 9,"Edinburgh
9, Learmouth Terrace","Edinburgh
9, Learmouth Terrace
Drawing-room Meeting - Miss Lamond and Dr. Inglis","['Miss Lamond', 'Dr. Inglis']",Drawing-room Meeting,,,"MAY 5 , 1910"
MAY 9,"London (Wimbledon)
Mrs. Trelfall's",London (Wimbledon) -Mrs. Trelfall's Drawing-room Meeting- Mrs. Rackham,['Mrs. Rackham'],Drawing-room Meeting,3.45,,"MAY 5 , 1910"
MAY 10,"London (Wimbledon)
Mrs. Schwann's","London (Wimbledon)
Mrs. Schwann's Drawing-room Meeting- Miss Clementina Black",['Miss Clementina Black'],Drawing-room Meeting,5.15,,"MAY 5 , 1910"
MAY 10,London (Ealing),"London (Ealing) -At Home ""Women under the Law .""",,"At Home ""Women under the Law .""",3.30,,"MAY 5 , 1910"
MAY 10,"London - Essex Hall, Strand","London - Essex Hall, Strand - Church League - Miss Abadam",['Miss Abadam'],Church League,8.30,,"MAY 5 , 1910"
MAY 10,"Sunderland
Mrs. Jacques'","Sunderland
Mrs. Jacques' Drawing-room Meeting",,Drawing-room Meeting,7.30,,"MAY 5 , 1910"
MAY 10,London - N.U. Offices,London - N.U. Offices - Younger Suffragists - Dr. Saleeby,['Dr. Saleeby'],Younger Suffragists,5.15,,"MAY 5 , 1910"
MAY 10,London - Criterion Restaurant,"London
Actresses' Franchise League Matinée - Criterion Restaurant",,Actresses' Franchise League Matinée,2.30,,"MAY 5 , 1910"
MAY 10,"London (Streatham)
Mrs. Albin's",London (Streatham) -Mrs. Albin's Drawing-room Meeting- Mrs. Rackham,['Mrs. Rackham'],Drawing-room Meeting,3.30,,"MAY 5 , 1910"
MAY 10,"Brighton
Forfar's Restaurant","Brighton
Forfar's Restaurant - Discussion on the Women's
Charter",,Discussion on the Women's Charter,,,"MAY 5 , 1910"
MAY 10,Shrewsbury,Shrewsbury - Mothers' Meeting - Mrs. Mayer,['Mrs. Mayer'],Mothers' Meeting,,,"MAY 5 , 1910"
MAY 10,Manchester - Memorial Hall,Manchester - Memorial Hall - Mr. Joseph Clayton,['Mr. Joseph Clayton'],,8.0,,"MAY 5 , 1910"
MAY 10,"Salford (South) - Egerton Schools, Tatton Street","Salford (South) -Egerton Schools, Tatton Street - Mr. Clayton",['Mr. Clayton'],,7.30,,"MAY 5 , 1910"
MAY 11,"London (Kensington)
Miss Holland's",London (Kensington) -Miss Holland's Drawing-room Meeting,,Drawing-room Meeting,8.30,,"MAY 5 , 1910"
MAY 11,"London (Richmond)
Mrs. Addin's",London (Richmond) -Mrs. Addin's Drawing-room Meeting - Rev. Hugh Chapman,['Rev. Hugh Chapman'],Drawing-room Meeting,,,"MAY 5 , 1910"
MAY 11,Shrewsbury,Shrewsbury - Drawing-room Meeting - Mrs. Mayer .,['Mrs. Mayer'],Drawing-room Meeting,3.15,,"MAY 5 , 1910"
MAY 11,"Knutsford
Ruskin Recreation Room","Knutsford
Ruskin Recreation Room - Women Only - Rev. Kirk Maconachie",['Rev. Kirk Maconachie'],Women Only,3.0,,"MAY 5 , 1910"
MAY 11,"London
Caxton Hall","London
Church League - Caxton Hall - Sir John Cockburn",['Sir John Cockburn'],Church League,3.30,,"MAY 5 , 1910"
MAY 12,London (N. Paddington) - Town Hall,"London (N. Paddington) Social Gathering - Town Hall - Miss Hodge and Mr. E. G. Smith
Music and Recitations","['Miss Hodge', 'Mr. E. G. Smith']","Social Gathering
Music and Recitations",3-6,,"MAY 5 , 1910"
MAY 12,Tunbridge Wells - Christ Church Parish Room,Tunbridge Wells - Christ Church Parish Room - Dr. Martindale .,['Dr. Martindale'],,8.0,,"MAY 5 , 1910"
MAY 12,Shrewsbury - Trinity Schools,Shrewsbury - Trinity Schools - Rummage Sale,,Rummage Sale,3.0,,"MAY 5 , 1910"
MAY 12,London (Camberwell) - Peckham Rye,London (Camberwell) -Peckham Rye - Miss Rinder,['Miss Rinder'],,,,"MAY 5 , 1910"
MAY 12,"Nottingham
36, Bridlesmith Gate","Nottingham - 36, Bridlesmith Gate - Tea and Cocoa",,Tea and Cocoa,,,"MAY 5 , 1910"
MAY 12,"London
Essex Hall, Strand","London
Church League - Essex Hall, Strand - Miss Royden",['Miss Royden'],Church League,8.30,,"MAY 5 , 1910"
MAY 13,Uxbridge,"Uxbridge
Church League for W.S. - Inaugural Public Meeting- The Rev. C. Hinscliff, Miss Canning","['Rev. C. Hinscliff', 'Miss Canning']",Church League for W.S. - Inaugural Public Meeting,,,"MAY 5 , 1910"
MAY 13,"Edinburgh
40, Shandwick Place","Edinburgh - 40, Shandwick Place",,,7.30,,"MAY 5 , 1910"
MAY 13,London (Esher),London (Esher) -Open-air Meeting - Miss C. Corbett,['Miss C. Corbett'],Open-air Meeting,7-9,,"MAY 5 , 1910"
