Date,Location,Raw,Speakers,Issue date
NOVEMBER 14,Criccieth,Criccieth,[],"NOVEMBER 14 , 1912"
NOVEMBER 14,"East Bristol - Thingsley Hall, Old Market Street","East Bristol - Thingsley Hall , Old Market Street- Miss M. Robinson",['Miss M. Robinson'],"NOVEMBER 14 , 1912"
NOVEMBER 14,Tynemouth - Mrs. Ronald Stevenson's Drawing-room,Tynemouth - Mrs . Ronald Stevenson's Drawing- room meeting - Miss Frances Sterling,['Miss Frances Sterling'],"NOVEMBER 14 , 1912"
NOVEMBER 14,Maidenhead - Drill Hall,"Maidenhead - Drill Hall - Lady Frances Balfour , R. F. Cholmeley , Esq . - Mrs . Robie Uniacke ( chair )","['Lady Frances Balfour', 'R. F. Cholmeley', 'Esq .']","NOVEMBER 14 , 1912"
NOVEMBER 14,Weston-super-Mare - Brown's cafe,Weston - super - Mare - Brown's cafe - Members ' meet- ing - Miss Helen Fraser,['Miss Helen Fraser'],"NOVEMBER 14 , 1912"
NOVEMBER 14,Bridgwater - Oddfellows Hall,Bridgwater - Oddfellows Hall - Miss Helen Fraser,['Miss Helen Fraser'],"NOVEMBER 14 , 1912"
NOVEMBER 14,Marple - Girls' Institute,"Marple - Girls ' Institute - Miss Alison Garland- Mrs. Annot Robinson , T. S. Rhodes , Esq . ( chair )","['Miss Alison Garland', 'Mrs. Annot Robinson', 'T. S. Rhodes', 'Esq .']","NOVEMBER 14 , 1912"
NOVEMBER 14,West Bromwich - Library Lecture Room,"West Bromwich - Library Lecture Room - annual meeting of members . J. A. Pearce , Esq . , A.R.A.C. ( chair )","['J. A. Pearce', 'Esq', 'A.R.A.C.']","NOVEMBER 14 , 1912"
NOVEMBER 14,Keighley - Temperance Hall,"Keighley - Temperance Hall - chair , Mr. W. Bland ; speaker , Mrs. F. T. Swanwick","['Mr. W. Bland', 'Mrs. F. T. Swanwick']","NOVEMBER 14 , 1912"
NOVEMBER 14,Mrs. Bingley Drawing-room,Mrs. Bingley Drawing - room meeting F. T. Swanwick,['F. T. Swanwick'],"NOVEMBER 14 , 1912"
NOVEMBER 14,"Croydon - Ruskin House, Station Road, W. Croydon","Croydon - Ruskin House , Station Road , W. Croydon -Mrs . Heitland : "" Women's Suffrage and the Labour Movement """,['Mrs. Heitland'],"NOVEMBER 14 , 1912"
NOVEMBER 14,Kings Lynn - W.L.A.,Kings Lynn - W.L.A. - Mrs . Rackham,['Mrs. Rackham'],"NOVEMBER 14 , 1912"
