Date,Location,Raw,Speakers,Description,Hosts,Issue date
MAY 29,"London, Balham",Balham - Corner of Ormeley Road - Open - air Meeting,[],,,"MAY 29 , 1914"
MAY 29,"London, Clapham","Clapham - Corner of Long Street , near "" The Plough "" and Clapham High Street - Speakers , Mrs. Rogers , Miss Fyffe , Miss Stoehr , Mr. Watson 8.0","['Mrs. Rogers', 'Miss Fyffe', 'Miss Stoehr', 'Mr. Watson']",,,"MAY 29 , 1914"
MAY 29,"London, Deptford","Deptford Corner of Brockley Road and Lewisham High Road Open - air Meeting- Speakers , Miss H. D. Cockle , Mr. A. Church","['Miss H. D. Cockle', 'Mr. A. Church']",,,"MAY 29 , 1914"
MAY 29,Darlington,"Darlington Thornbech Collegiate School- "" At Home "" Hostesses , The Misses Reid and Taylor -Speaker , Miss Alice Low 3.0",['Miss Alice Low'],,,"MAY 29 , 1914"
MAY 29,Leeds,"Leeds - Open - air Meeting - Opposite St. Ste- phen's Schools , Accomodation Road - Speaker , Miss Margaret Robertson , B.A. 7.30",['Miss Margaret Robertson'],,,"MAY 29 , 1914"
MAY 29,Dumfries,"Dumfries Greyfriar's Hall - Snowden - Chair , Provost Turner Speaker , Mrs. 8.0",['Mrs. Snowden'],,,"MAY 29 , 1914"
MAY 29,Edinburgh,"Edinburgh - 40 , Shandwick Place- "" At Home "" Mr. W. Stewart ( I.L.P. , Glasgow ) on "" The Fulfilment of Democracy 4.30",['Mr. W. Stewart'],,,"MAY 29 , 1914"
MAY 30,Finchley,Finchley - Outside Stanmore Church - Open - air Meeting Active Service Branch,,Active Service Branch,,"MAY 29 , 1914"
MAY 30,South Lambeth,"South Lambeth - Corner of S. Lambeth Road and Binfield Road - Open - air Meeting - Speakers , Miss Fawcett , Mr. H. Gugenheim 8.15","['Miss Fawcett', 'Mr. H. Gugenheim']",,,"MAY 29 , 1914"
MAY 30,Weymouth,"Weymouth Address by Mrs. Harley - Chair , Miss Crookenden 8.0",['Mrs. Harley'],,,"MAY 29 , 1914"
MAY 30,Tranent,"Tranent - I.L.P . Meeting - Speaker , Miss Press- ley Smith 6.30",['Miss Pressley Smith'],,,"MAY 29 , 1914"
MAY 31,Poplar,"Poplar - East India Dock Gates Open - air Meeting - Speaker , Mrs. Campbell 11.30",['Mrs. Campbell'],,,"MAY 29 , 1914"
MAY 31,Weymouth,"Weymouth - Miss Cooke on "" The Religious Aspect of the Women's Movement "" -Chair , Mrs. Harley",['Miss Cooke'],,,"MAY 29 , 1914"
MAY 31,Portobello,"Portobello - Meeting of the National Union of Railwaymen - Speaker , Miss Pressley Smith 4.0",['Miss Pressley Smith'],,,"MAY 29 , 1914"
JUNE 1,Scarborough,Scarborough June 1st - 15th - Lightning Cam- paign,,June 1st - 15th - Lightning Campaign,,"MAY 29 , 1914"
JUNE 1,Weymouth,"Weymouth - Beach Meeting Speakers , Mrs. Dr. Harley , Miss Cooke - Chair , Mrs. Whalley Afternoon - Speakers , Mrs. Rackham , Sloan Chesser - Chair , Mrs. Whalley Evening Mrs. Rackham on "" Woman's Work in Local Government "" -Chair , Miss Crook- enden , M.A.","['Mrs. Harley', 'Miss Cooke', 'Mrs. Rackham', 'Sloan Chesser']",,,"MAY 29 , 1914"
JUNE 2,Wood Green,"Wood Green - Drawing - room Meeting of Women's Labour League on "" The Work of the N.U . "" - Speaker , Mrs. Wood 3.0",['Mrs. Wood'],,,"MAY 29 , 1914"
JUNE 2,Portsmouth,"Portsmouth The Suffrage Rooms , 2 , Kent Road - Miss W. A. Elkin on "" Unmarried Women and Labour",['Miss W. A. Elkin'],,,"MAY 29 , 1914"
JUNE 2,Weymouth,"Weymouth - Beach Meeting - Speaker , Dr. Sloan Chesser Chair , Mrs. Harley 11.30",['Dr. Sloan Chesser'],,,"MAY 29 , 1914"
JUNE 2,"North Square, Chickerwell","North Square , Chickerwell - Open - air Meeting -Speaker , Miss Cooke - Chair , Miss Levi Evening - Dr . Sloan Chesser on "" Woman Mar- riage and Motherhood "" -Chair , Miss Tanner","['Miss Cooke', 'Dr. Sloan Chesser']",,,"MAY 29 , 1914"
JUNE 2,Upwey,"Upwey Open - air Meeting Whalley - Chair , Miss Batchelor Speaker , Mrs. 8.0",['Mrs. Whalley'],,,"MAY 29 , 1914"
JUNE 2,Pangbourne,"Pangbourne - Open - air Meeting - Speaker , Miss Muriel Matters",['Miss Muriel Matters'],,,"MAY 29 , 1914"
JUNE 2,West Calder,"West Calder - I.L.P . Meeting - Speaker , Miss Pressley Smith 6.30",['Miss Pressley Smith'],,,"MAY 29 , 1914"
JUNE 3,"London, Clapham","Clapham - Corner of Aristotle Road and Clap- ham High Street - Open - air Meeting - Speakers , Miss Agnes Dawson , Mrs. Campbell","['Miss Agnes Dawson', 'Mrs. Campbell']",,,"MAY 29 , 1914"
JUNE 3,"London, Marylebone","Marylebone - Corner of Church Street and Car- lisle Street - Open - air Meeting - Chair , Mr. Joseph Pingree 8.0",[],,,"MAY 29 , 1914"
JUNE 3,"London, South St. Pancras","South St. Pancras - Corner of Howland Street and Tottenham Court Road - Open - air Meeting- Speakers , Miss Rinder , Miss Meikle","['Miss Rinder', 'Miss Meikle']",,,"MAY 29 , 1914"
JUNE 3,Mitcham,"Mitcham Beddington Corner - Open - air Meet- ing - Speaker , Miss N. O'Shea 7.30","[""Miss N. O'Shea""]",,,"MAY 29 , 1914"
