Date,Location,Raw,Speakers,Hosts,Issue date
JUNE 12,"London. Balham - Corner of Ormely Road, Balham High Road","Balham - Corner of Ormely Road, Balham High Road - Open - air Meeting - Miss Fielden",['Miss Fielden'],,"JUNE 12 , 1914"
JUNE 12,London. Deptford - Deptford Broadway,"Deptford Deptford Broadway - Open - air Meeting - Speakers, Miss W. Elkins, Miss M. Green","['Miss W. Elkins', 'Miss M. Green']",,"JUNE 12 , 1914"
JUNE 12,London. Newington - Corner of Lancaster Street and Newington Causeway,"Newington - Corner of Lancaster Street and Newington Causeway - Open - air Meeting- Speakers, Miss Hamilton, Miss Cockle","['Miss Hamilton', 'Miss Cockle']",,"JUNE 12 , 1914"
JUNE 12,"London. Peckham - Collyer Place, High Street","Peckham - Collyer Place, High Street - Open- air Meeting - Speakers, Mr. David Watson, Mrs. Watson, Miss Gloyn","['Mr. David Watson', 'Mrs. Watson', 'Miss Gloyn']",,"JUNE 12 , 1914"
JUNE 12,London. Westminster Palace Hotel,"Westminster Palace Hotel - Public Reception- Speakers, Mrs. Henry Fawcett, LL.D., Mrs. Rackham, P.L.G., Mrs. F. T. Swanwick, M.A.- Chair, Miss Helen Ward - Discussion - Tea","['Mrs. Henry Fawcett, LL.D.', 'Mrs. Rackham, P.L.G.', 'Mrs. F. T. Swanwick, M.A.']",,"JUNE 12 , 1914"
JUNE 14,London. Hyde Park - Near Reformer's Tree,Hyde Park - Near Reformer's Tree - Miss Griffith Jones and others,"['Miss Griffith Jones', 'others']",,"JUNE 12 , 1914"
JUNE 15,"London. East Finchley - Guild Room, Wesleyan Church","East Finchley - Guild Room, Wesleyan Church -Adult School Meeting - Miss Wilkie on ""The Future of the Women's Movement""",['Miss Wilkie'],,"JUNE 12 , 1914"
JUNE 15,"London. Forest Gate - Barclay Hall, Green Street","Forest Gate - Barclay Hall, Green Street- Women's Meeting - Speaker, Mrs. Paul Campbell",['Mrs. Paul Campbell'],,"JUNE 12 , 1914"
JUNE 15,London. Greenwich - Corner of Stockwell Street and London Street,"Greenwich - Corner of Stockwell Street and London Street - Open - air Meeting - Speakers, Miss Hamilton, Mr. and Mrs. Watson","['Miss Hamilton', 'Mr. and Mrs. Watson']",,"JUNE 12 , 1914"
JUNE 15,London. Southwark - Meeting of Southwark Trades Council,"Southwark - Meeting of Southwark Trades Council - Miss Hay Cooper on ""Women in Industry""",['Miss Hay Cooper'],,"JUNE 12 , 1914"
JUNE 17,"London. Deptford - Unity Hall, Evelyn Street","Deptford - Unity Hall, Evelyn Street - Jumble Sale",,,"JUNE 12 , 1914"
JUNE 17,London. Ealing - Corner of Melbourne Avenue,"Ealing Corner of Melbourne Avenue- Speaker, Mrs. Paul Campbell",['Mrs. Paul Campbell'],,"JUNE 12 , 1914"
JUNE 17,London. Hyde Park,Hyde Park - Near Griffith Jones and others,"['Miss Griffith Jones', 'others']",,"JUNE 12 , 1914"
JUNE 17,London. North Kensington - Lancaster Road,"North Kensington - Lancaster Road - Speakers, Miss Stoehr and others","['Miss Stoehr', 'others']",,"JUNE 12 , 1914"
JUNE 17,"London. Walthamstow - Forest Lodge, Whipp's Cross","Walthamstow - Forest Lodge, Whipp's Cross -Garden Party - Hostess, Mrs. Ruck - Keene- Speaker, Miss Rosamond Smith",['Miss Rosamond Smith'],,"JUNE 12 , 1914"
JUNE 17,London. West St. Pancras - Corner of Netley Street and Hampstead Road,"West St. Pancras - Corner of Netley Street and Hampstead Road - Open - air Meeting- Speakers, Mrs. Abbott, Miss Fawcett","['Mrs. Abbott', 'Miss Fawcett']",,"JUNE 12 , 1914"
JUNE 18,London. Esher - Claygate Green,"Esher Claygate Green - Mrs. Rackham, P.L.G. Chair, Miss M. Martineau","['Mrs. Rackham, P.L.G.']",,"JUNE 12 , 1914"
JUNE 18,London. Golder's Green and Hendon - Telford Road Hall,"Golder's Green and Hendon - Telford Road Hall Guild Meeting - Mrs. Paul Campbell on ""The Disabilities of Wives"" -Open to Hendon and Hendon members of Golder's Green Branch",['Mrs. Paul Campbell'],,"JUNE 12 , 1914"
JUNE 18,London. Hammersmith - Stamford Brook House,Hammersmith - Stamford Brook House (by kind permission of Mrs. McGregor) -Garden Meeting and Entertainment.,,['Mrs. McGregor'],"JUNE 12 , 1914"
JUNE 18,London. Harrow - Oldfield House,"Harrow - Oldfield House (by kind permission of Lady Lunn) -At Home - Speaker, Miss Mar- gery Goddard - Chair, Mrs. Campbell",['Miss Margery Goddard'],,"JUNE 12 , 1914"
