Date,Location,Raw,Speakers,Hosts,Description,Issue date
August 6th - 19th,ABERYSTWYTH,Helpers Wanted FOR OPEN - AIR MEETINGS AT ABERYSTWYTH August 6th - 19th .,,,,"July 24, 1914"
August 10th - 12th,BEDFORD DISTRICT,"OXON , BERKS & BUCKS FEDERATION A CYCLING TOUR 99 Aug. 10th - 12th is being arranged as follows- BEDFORD DISTRICT",,,,"July 24, 1914"
August 12th - 14th,WOBURN SANDS,WOBURN SANDS 22 22 وو 99 12th - 14th,,,,"July 24, 1914"
August 14th - 17th,DUNSTABLE,"DUNSTABLE 22 22 י , 99 14th - 17th",,,,"July 24, 1914"
August 17th - 18th,LUTON,LUTON وو 17th - 18th,,,,"July 24, 1914"
August 18th - 21st,WATFORD,"WATFORD 33 22 י , وو 18th - 21st",,,,"July 24, 1914"
August 21st - 25th,S. BUCKS,S. BUCKS 33 21st - 25th,,,,"July 24, 1914"
August 25th - 28th,MAIDENHEAD,MAIDENHEAD 22 25th - 28th,,,,"July 24, 1914"
August 28th - September 1st,S. BERKS,S. BERKS وو Aug. 28th - Sept . 1st,,,,"July 24, 1914"
September 1st - 5th,N. BERKS,N. BERKS Sept. 1st - 5th,,,,"July 24, 1914"
July 24,Hyde Park,"Hyde Park - Miss Helen Fraser , Miss Mary Fielden , J. Y. Kennedy , Esq .","['Miss Helen Fraser', 'Miss Mary Fielden', 'J. Y. Kennedy, Esq.']",,,"July 24, 1914"
July 24,Bristol,Bristol - At the Horse - fair - Dinner - hour Meet- ing - Miss Helen Fraser and others,['Miss Helen Fraser'],,,"July 24, 1914"
July 24,Bury St. Edmunds,Bury St. Edmunds - Open - air - Mrs Rackham,['Mrs. Rackham'],,,"July 24, 1914"
July 24,Guildford,"Guildford Church Room , Staughton - Chair , Mrs. Swinburn - Mrs . Cowmeadow",['Mrs. Cowmeadow'],,,"July 24, 1914"
July 24,"The Green, Ripley","The Green , Ripley - Chair , Miss Baker - Mrs . Cowmeadow",['Mrs. Cowmeadow'],,,"July 24, 1914"
July 24,Ickleford,Ickleford Open - air Meeting - Mrs . Frederic Taylor and Miss A. Villier,"['Mrs. Frederic Taylor', 'Miss A. Villier']",,,"July 24, 1914"
July 24,Newcastle,"Newcastle Garden Fête , "" The Willows , "" Clayton Road , by kind permission of Mrs. G. B. Hunter - Speaker , Miss Muriel Matters- Competitions , Dancing , Cake and Candy Sale Morris 3.30-6.30 If wet , sale and meeting to be held at 78 , Jesmond Road .",['Miss Muriel Matters'],['Mrs. G. B. Hunter'],,"July 24, 1914"
July 24,North Sands,"North Sands - Miss Foxley , M.A. , Miss Ashton- Jones","['Miss Foxley, M.A.', 'Miss Ashton-Jones']",,,"July 24, 1914"
July 24,Romford,"Romford and District - Meeting for members and likely members - Romford Baths , Mawneys Road - Miss Creak",['Miss Creak'],,,"July 24, 1914"
July 24,Woodley Smithy Green,"Woodley Smithy Green - Open - air Meeting- Speaker , Mrs. Chew - Chair , Mr. Clement Bundrock",['Mrs. Chew'],,,"July 24, 1914"
July 25,North Sands,"North Sands - Miss Foxley , M.A. , Miss Ashton- Jones","['Miss Foxley, M.A.', 'Miss Ashton-Jones']",,,"July 24, 1914"
July 25,Watford,"West for Herts Society - Garden Meeting for Teachers - The Linders , Mascot Road , Watford- Hostess , Mrs. White , Chair , Mr. John R. Ismay -Miss A. G. Hewitt ( N.U.T. )",['Miss A. G. Hewitt (N.U.T)'],['Mrs. White'],West for Herts Society Garden Meeting for Teachers,"July 24, 1914"
July 25,Wokingham,"Wokingham Easthampstead Park Hostess , The Marchioness of Downshire - The Countess lof Selborne , Miss Helen Fraser 3.0","['The Countess of Selborne', 'Miss Helen Fraser']",['The Marchioness of Downshire'],,"July 24, 1914"
July 27,Bardon Mill,"Bardon Mill - Open - air - Miss Armstrong Beaver , Miss 7.0",['Miss Armstrong Beaver'],,,"July 24, 1914"
July 27,Brighton and Hove,"Brighton and Hove - White Elephant Sale , in grounds of 26 , Willing Road 3.30",,,,"July 24, 1914"
July 27,Dover,Dover Miss Griffith Jones and Miss Hamil- ton . 8.0,"['Miss Griffith Jones', 'Miss Hamilton']",,,"July 24, 1914"
July 27,Haltwhistle,"Haltwhistle - Market Place - Miss Meikle , Miss A. E. G. Westwood 7.0","['Miss Meikle', 'Miss A.E.G. Westwood']",,,"July 24, 1914"
July 27,Hayden Bridge,"Hayden Bridge - Open - air - Miss Gordon , Miss A. E. Westwood 7.0","['Miss Gordon', 'Miss A.E. Westwood']",,,"July 24, 1914"
July 27,Herne Bay,Herne Bay Mrs. Rackham - Afternoon and evening,['Mrs. Rackham'],,,"July 24, 1914"
July 27,Leeds,"Leeds Mrs. Christopher James "" At Home "" - Pen y Cym , Chapel Allerton - Stock Exchange Tea 3.30-5.30",,['Mrs. Christopher James'],Stock Exchange Tea,"July 24, 1914"
July 27,Manchester,Manchester - Open - air Meeting - Tibb Street corner Mrs. Müter Wilson and Mr. Eastwood,"['Mrs. Müter Wilson', 'Mr. Eastwood']",,,"July 24, 1914"
July 27,Salford,"South Salford Suffrage Club , Oldfield Hall- Mrs. Pearson and Mrs. Atack","['Mrs. Pearson', 'Mrs. Atack']",,,"July 24, 1914"
July 27,"Newport, Salop","Newport ( Salop ) -The Square - A.S.L . meet- ing Mrs. Harley , Miss Eskrigg , and others","['Mrs. Harley', 'Miss Eskrigg']",,,"July 24, 1914"
July 27,Reading,"Reading Wokingham Road Schools - Chair , Councillor Sarjeant - Miss Margaret Jones , Mr. Oliver Strachey 8.0","['Miss Margaret Jones', 'Mr. Oliver Strachey']",,,"July 24, 1914"
