points,height,width,block_type,text,id,score,x_center,y_center,x_center_100x,scan,page,column
"[420, 224, 471, 223, 471, 244, 420, 245]",22,51,quadrilateral,228,0,0.9894171357154846,445.5,234.0,44550.0,9,0,0
"[998, 216, 1087, 216, 1087, 244, 998, 244]",28,89,quadrilateral,THE,1,0.9918772578239441,1042.5,230.0,104250.0,9,0,0
"[1147, 214, 1333, 215, 1333, 245, 1147, 244]",31,186,quadrilateral,COMMON,2,0.991766631603241,1240.0,229.5,124000.0,9,0,0
"[383, 298, 454, 297, 454, 329, 383, 330]",33,71,quadrilateral,them,3,0.992976725101471,418.5,313.5,41850.0,9,0,0
"[468, 297, 497, 297, 497, 329, 468, 329]",32,29,quadrilateral,as,4,0.9880433082580566,482.5,313.0,48250.0,9,0,0
"[509, 297, 598, 296, 598, 328, 509, 329]",33,89,quadrilateral,equals,5,0.993898868560791,553.5,312.5,55350.0,9,0,0
"[611, 296, 658, 296, 658, 327, 611, 327]",31,47,quadrilateral,and,6,0.9875212907791138,634.5,311.5,63450.0,9,0,0
"[673, 295, 798, 294, 798, 326, 673, 327]",33,125,quadrilateral,comrades,7,0.9847254753112793,735.5,310.5,73550.0,9,0,0
"[799, 294, 806, 294, 806, 325, 799, 325]",31,7,quadrilateral,",",8,0.9820855259895325,802.5,309.5,80250.0,9,0,0
"[823, 294, 885, 293, 885, 324, 823, 325]",32,62,quadrilateral,each,9,0.99196857213974,854.0,309.0,85400.0,9,0,0
"[898, 293, 1015, 292, 1015, 324, 898, 325]",33,117,quadrilateral,bringing,10,0.9890855550765991,956.5,308.5,95650.0,9,0,0
"[1027, 291, 1097, 290, 1097, 322, 1027, 323]",33,70,quadrilateral,their,11,0.9961544871330261,1062.0,306.5,106200.0,9,0,0
"[1110, 291, 1167, 290, 1167, 321, 1110, 322]",32,57,quadrilateral,own,12,0.9910982847213745,1138.5,306.0,113850.0,9,0,0
"[1179, 290, 1239, 289, 1239, 320, 1179, 321]",32,60,quadrilateral,con-,13,0.956105649471283,1209.0,305.0,120900.0,9,0,0
"[385, 326, 506, 327, 506, 352, 385, 351]",26,121,quadrilateral,tribution,14,0.9906082153320312,445.5,339.0,44550.0,9,0,0
"[509, 327, 518, 327, 518, 351, 509, 351]",24,9,quadrilateral,.,15,0.9006149172782898,513.5,339.0,51350.0,9,0,0
"[518, 327, 536, 327, 536, 351, 518, 351]",24,18,quadrilateral,"""",16,0.7622154355049133,527.0,339.0,52700.0,9,0,0
"[568, 327, 580, 327, 580, 351, 568, 351]",24,12,quadrilateral,(,17,0.9523252844810486,574.0,339.0,57400.0,9,0,0
"[578, 327, 608, 327, 608, 352, 578, 352]",25,30,quadrilateral,P.,18,0.9706752896308899,593.0,339.5,59300.0,9,0,0
"[620, 328, 674, 328, 674, 352, 620, 352]",24,54,quadrilateral,345.,19,0.9886363744735718,647.0,340.0,64700.0,9,0,0
"[675, 328, 686, 328, 686, 352, 675, 352]",24,11,quadrilateral,),20,0.9908174276351929,680.5,340.0,68050.0,9,0,0
"[416, 355, 436, 355, 436, 386, 416, 386]",31,20,quadrilateral,"""",21,0.7833413481712341,426.0,370.5,42600.0,9,0,0
"[441, 354, 486, 353, 486, 384, 441, 385]",32,45,quadrilateral,He,22,0.9744243621826172,463.5,369.0,46350.0,9,0,0
"[485, 354, 506, 354, 506, 385, 485, 385]",31,21,quadrilateral,"""",23,0.9325444102287292,495.5,369.5,49550.0,9,0,0
"[524, 353, 551, 353, 551, 384, 524, 384]",31,27,quadrilateral,is,24,0.9841248989105225,537.5,368.5,53750.0,9,0,0
"[566, 353, 583, 353, 583, 384, 566, 384]",31,17,quadrilateral,a,25,0.9870226383209229,574.5,368.5,57450.0,9,0,0
"[600, 352, 681, 351, 681, 383, 600, 384]",33,81,quadrilateral,rising,26,0.9793731570243835,640.5,367.5,64050.0,9,0,0
"[697, 351, 823, 350, 823, 382, 697, 383]",33,126,quadrilateral,politician,27,0.9728904962539673,760.0,366.5,76000.0,9,0,0
"[845, 349, 873, 349, 873, 381, 845, 381]",32,28,quadrilateral,of,28,0.987632691860199,859.0,365.0,85900.0,9,0,0
"[889, 349, 970, 348, 970, 380, 889, 381]",33,81,quadrilateral,whom,29,0.9924899339675903,929.5,364.5,92950.0,9,0,0
"[985, 348, 1033, 347, 1033, 378, 985, 379]",32,48,quadrilateral,the,30,0.9823437929153442,1009.0,363.0,100900.0,9,0,0
"[1047, 347, 1132, 346, 1132, 378, 1047, 379]",33,85,quadrilateral,public,31,0.9789837598800659,1089.5,362.5,108950.0,9,0,0
"[1148, 346, 1238, 345, 1238, 377, 1148, 378]",33,90,quadrilateral,expect,32,0.9922730326652527,1193.0,361.5,119300.0,9,0,0
"[384, 383, 454, 382, 454, 412, 384, 413]",31,70,quadrilateral,great,33,0.9897666573524475,419.0,397.5,41900.0,9,0,0
"[466, 382, 552, 381, 552, 411, 466, 412]",31,86,quadrilateral,things,34,0.9882971048355103,509.0,396.5,50900.0,9,0,0
"[552, 382, 560, 382, 560, 411, 552, 411]",29,8,quadrilateral,",",35,0.9797172546386719,556.0,396.5,55600.0,9,0,0
"[572, 381, 622, 380, 622, 410, 572, 411]",31,50,quadrilateral,and,36,0.983437716960907,597.0,395.5,59700.0,9,0,0
"[633, 381, 675, 381, 675, 410, 633, 410]",29,42,quadrilateral,she,37,0.99564129114151,654.0,395.5,65400.0,9,0,0
"[685, 380, 706, 380, 706, 409, 685, 409]",29,21,quadrilateral,is,38,0.9882645606994629,695.5,394.5,69550.0,9,0,0
"[715, 380, 751, 380, 751, 409, 715, 409]",29,36,quadrilateral,his,39,0.9642041921615601,733.0,394.5,73300.0,9,0,0
"[764, 380, 783, 380, 783, 409, 764, 409]",29,19,quadrilateral,"""",40,0.714581310749054,773.5,394.5,77350.0,9,0,0
"[790, 379, 864, 378, 864, 408, 790, 409]",31,74,quadrilateral,equal,41,0.9800376296043396,827.0,393.5,82700.0,9,0,0
"[869, 379, 887, 379, 887, 408, 869, 408]",29,18,quadrilateral,"""",42,0.7390166521072388,878.0,393.5,87800.0,9,0,0
"[894, 378, 904, 378, 904, 407, 894, 407]",29,10,quadrilateral,!,43,0.6454051733016968,899.0,392.5,89900.0,9,0,0
"[933, 377, 1009, 376, 1009, 406, 933, 407]",31,76,quadrilateral,What,44,0.97998046875,971.0,391.5,97100.0,9,0,0
"[1020, 377, 1153, 376, 1153, 405, 1020, 406]",30,133,quadrilateral,Suffragist,45,0.990986168384552,1086.5,391.0,108650.0,9,0,0
"[1165, 375, 1238, 374, 1238, 404, 1165, 405]",31,73,quadrilateral,could,46,0.989128589630127,1201.5,389.5,120150.0,9,0,0
"[384, 419, 428, 417, 429, 438, 385, 440]",23,45,quadrilateral,say,47,0.9912149310112,406.5,428.5,40650.0,9,0,0
"[440, 416, 508, 413, 509, 434, 441, 437]",24,69,quadrilateral,more,48,0.9918099641799927,474.5,425.0,47450.0,9,0,0
"[514, 414, 527, 413, 528, 433, 515, 434]",21,14,quadrilateral,?,49,0.9244126677513123,521.0,423.5,52100.0,9,0,0
"[415, 439, 475, 438, 475, 467, 415, 468]",30,60,quadrilateral,May,50,0.9885407090187073,445.0,453.0,44500.0,9,0,0
"[502, 439, 516, 439, 516, 467, 502, 467]",28,14,quadrilateral,I,51,0.9485228061676025,509.0,453.0,50900.0,9,0,0
"[538, 438, 691, 436, 691, 465, 538, 467]",31,153,quadrilateral,recommend,52,0.9913799166679382,614.5,451.5,61450.0,9,0,0
"[715, 436, 764, 435, 764, 463, 715, 464]",29,49,quadrilateral,two,53,0.9876688718795776,739.5,449.5,73950.0,9,0,0
"[788, 435, 859, 434, 859, 463, 788, 464]",30,71,quadrilateral,other,54,0.994670033454895,823.5,449.0,82350.0,9,0,0
"[885, 434, 960, 433, 960, 462, 885, 463]",30,75,quadrilateral,books,55,0.9818132519721985,922.5,448.0,92250.0,9,0,0
"[983, 433, 1010, 433, 1010, 461, 983, 461]",28,27,quadrilateral,to,56,0.9830906391143799,996.5,447.0,99650.0,9,0,0
"[1032, 432, 1096, 431, 1096, 460, 1032, 461]",30,64,quadrilateral,your,57,0.9766393303871155,1064.0,446.0,106400.0,9,0,0
"[1119, 431, 1219, 430, 1219, 459, 1119, 460]",30,100,quadrilateral,readers,58,0.9924746155738831,1169.0,445.0,116900.0,9,0,0
"[1224, 430, 1237, 430, 1237, 458, 1224, 458]",28,13,quadrilateral,?,59,0.9188374876976013,1230.5,444.0,123050.0,9,0,0
"[386, 469, 406, 469, 406, 498, 386, 498]",29,20,quadrilateral,"""",60,0.6763064861297607,396.0,483.5,39600.0,9,0,0
"[412, 468, 496, 467, 496, 497, 412, 498]",31,84,quadrilateral,South,61,0.9775801301002502,454.0,482.5,45400.0,9,0,0
"[509, 467, 593, 466, 593, 495, 509, 496]",30,84,quadrilateral,Africa,62,0.9760985374450684,551.0,481.0,55100.0,9,0,0
"[594, 466, 601, 466, 601, 495, 594, 495]",29,7,quadrilateral,",",63,0.9878143072128296,597.5,480.5,59750.0,9,0,0
"[604, 466, 620, 466, 620, 495, 604, 495]",29,16,quadrilateral,"""",64,0.9629822969436646,612.0,480.5,61200.0,9,0,0
"[638, 465, 670, 465, 670, 494, 638, 494]",29,32,quadrilateral,by,65,0.9879297018051147,654.0,479.5,65400.0,9,0,0
"[686, 465, 716, 465, 716, 494, 686, 494]",29,30,quadrilateral,F.,66,0.9744526743888855,701.0,479.5,70100.0,9,0,0
"[731, 464, 800, 463, 800, 493, 731, 494]",31,69,quadrilateral,Lana,67,0.9934195876121521,765.5,478.5,76550.0,9,0,0
"[801, 463, 808, 463, 808, 492, 801, 492]",29,7,quadrilateral,",",68,0.9881756901741028,804.5,477.5,80450.0,9,0,0
"[827, 463, 883, 462, 883, 492, 827, 493]",31,56,quadrilateral,tells,69,0.9945603013038635,855.0,477.5,85500.0,9,0,0
"[899, 462, 927, 462, 927, 491, 899, 491]",29,28,quadrilateral,us,70,0.9857569336891174,913.0,476.5,91300.0,9,0,0
"[943, 461, 1011, 460, 1011, 490, 943, 491]",31,68,quadrilateral,what,71,0.9942353963851929,977.0,475.5,97700.0,9,0,0
"[1028, 460, 1239, 457, 1239, 487, 1028, 490]",33,211,quadrilateral,disenfranchised,72,0.9873932600021362,1133.5,473.5,113350.0,9,0,0
"[385, 496, 439, 495, 439, 523, 385, 524]",29,54,quadrilateral,men,73,0.9881957769393921,412.0,509.5,41200.0,9,0,0
"[452, 495, 503, 495, 503, 523, 452, 523]",28,51,quadrilateral,will,74,0.9776634573936462,477.5,509.0,47750.0,9,0,0
"[516, 495, 548, 495, 548, 522, 516, 522]",27,32,quadrilateral,do,75,0.9877766370773315,532.0,508.5,53200.0,9,0,0
"[565, 495, 592, 495, 592, 522, 565, 522]",27,27,quadrilateral,to,76,0.9892241954803467,578.5,508.5,57850.0,9,0,0
"[611, 494, 653, 494, 653, 521, 611, 521]",27,42,quadrilateral,get,77,0.9905483722686768,632.0,507.5,63200.0,9,0,0
"[668, 494, 712, 494, 712, 521, 668, 521]",27,44,quadrilateral,the,78,0.9921939373016357,690.0,507.5,69000.0,9,0,0
"[727, 493, 784, 492, 784, 519, 727, 520]",28,57,quadrilateral,vote,79,0.9947285056114197,755.5,506.0,75550.0,9,0,0
"[790, 493, 796, 493, 796, 520, 790, 520]",27,6,quadrilateral,;,80,0.9645273685455322,793.0,506.5,79300.0,9,0,0
"[814, 492, 955, 491, 955, 519, 814, 520]",29,141,quadrilateral,paragraph,81,0.9917601943016052,884.5,505.5,88450.0,9,0,0
"[971, 491, 1038, 490, 1038, 517, 971, 518]",28,67,quadrilateral,after,82,0.9911348819732666,1004.5,504.0,100450.0,9,0,0
"[1053, 490, 1198, 489, 1198, 517, 1053, 518]",29,145,quadrilateral,paragraph,83,0.9944590926170349,1125.5,503.5,112550.0,9,0,0
"[1210, 489, 1239, 489, 1239, 516, 1210, 516]",27,29,quadrilateral,of,84,0.9848232269287109,1224.5,502.5,122450.0,9,0,0
"[385, 523, 430, 523, 430, 553, 385, 553]",30,45,quadrilateral,the,85,0.9903943538665771,407.5,538.0,40750.0,9,0,0
"[443, 523, 508, 522, 508, 551, 443, 552]",30,65,quadrilateral,book,86,0.9830876588821411,475.5,537.0,47550.0,9,0,0
"[521, 522, 601, 521, 601, 551, 521, 552]",31,80,quadrilateral,might,87,0.9922986030578613,561.0,536.5,56100.0,9,0,0
"[620, 521, 650, 521, 650, 551, 620, 551]",30,30,quadrilateral,be,88,0.9922311902046204,635.0,536.0,63500.0,9,0,0
"[663, 521, 755, 520, 755, 550, 663, 551]",31,92,quadrilateral,quoted,89,0.9951765537261963,709.0,535.5,70900.0,9,0,0
"[770, 520, 797, 520, 797, 549, 770, 549]",29,27,quadrilateral,in,90,0.9877377152442932,783.5,534.5,78350.0,9,0,0
"[812, 520, 927, 519, 927, 548, 812, 549]",30,115,quadrilateral,Suffrage,91,0.9876864552497864,869.5,534.0,86950.0,9,0,0
"[942, 518, 1056, 517, 1056, 547, 942, 548]",31,114,quadrilateral,speeches,92,0.9908865690231323,999.0,532.5,99900.0,9,0,0
"[1057, 518, 1063, 518, 1063, 547, 1057, 547]",29,6,quadrilateral,.,93,0.9278512597084045,1060.0,532.5,106000.0,9,0,0
"[1097, 518, 1115, 518, 1115, 547, 1097, 547]",29,18,quadrilateral,"""",94,0.6381685733795166,1106.0,532.5,110600.0,9,0,0
"[1123, 517, 1168, 517, 1168, 546, 1123, 546]",29,45,quadrilateral,My,95,0.9732131958007812,1145.5,531.5,114550.0,9,0,0
