Date,Location,Raw,Description,Speakers,Issue date
AUGUST 18,Hayward's Heath,"Hayward's Heath - Garden Meeting - Miss Margaret Ashton , Miss Duncan .",Garden Meeting,"['Miss Margaret Ashton', 'Miss Duncan']","AUGUST 18 , 1910"
AUGUST 20,Huddersfield,"Huddersfield - Black Rock House , Linthwaite - Garden Party- Miss Fielden : 3.30",Garden Party,['Miss Fielden'],"AUGUST 18 , 1910"
AUGUST 20,London (Highgate),London ( Highgate ) -Open - air Meeting .,Open - air Meeting,,"AUGUST 18 , 1910"
AUGUST 20,Guildford,"Guildford - Open - air Meeting - Miss Margaret Ashton , Sir William Chance .",Open - air Meeting,"['Miss Margaret Ashton', 'Sir William Chance']","AUGUST 18 , 1910"
AUGUST 21,Leeds,"Leeds Beeston Park - Miss I. O. Ford , Miss Fielden .",Beeston Park,"['Miss I. O. Ford', 'Miss Fielden']","AUGUST 18 , 1910"
AUGUST 22,Leeds,Leeds Women's Labour League - East Ward - Miss Fielden .,Women's Labour League - East Ward,['Miss Fielden'],"AUGUST 18 , 1910"
AUGUST 22,Cuckfield,Cuckfield Society - Miss Margaret Ashton .,,['Miss Margaret Ashton'],"AUGUST 18 , 1910"
AUGUST 23,Farnham,Farnham - Crondall - Open - air Meeting - Miss Barbara Duncan .,Crondall - Open - air Meeting,['Miss Barbara Duncan'],"AUGUST 18 , 1910"
AUGUST 24,Cuckfield,Cuckfield Society - Miss Margaret Ashton .,,['Miss Margaret Ashton'],"AUGUST 18 , 1910"
AUGUST 24,Leeds,Leeds The Misses Ford's Garden Party - Adel Grange .,The Misses Ford's Garden Party - Adel Grange,,"AUGUST 18 , 1910"
AUGUST 24,Cuckfield,Cuckfield Society - Miss Margaret Ashton .,,['Miss Margaret Ashton'],"AUGUST 18 , 1910"
AUGUST 25,Farnham,Farnham - Tilford - Open - air Meeting - Miss Barbara Duncan .,Tilford - Open - air Meeting,['Miss Barbara Duncan'],"AUGUST 18 , 1910"
AUGUST 26,London,London - Kingston . Market Place Open - air Meeting - Miss Dawson .,Kingston . Market Place Open - air Meeting,['Miss Dawson'],"AUGUST 18 , 1910"
AUGUST 26,Farnham,Farnham - Frensham - Open - air Meeting - Miss Barbara Duncan .,Frensham - Open - air Meeting,['Miss Barbara Duncan'],"AUGUST 18 , 1910"
AUGUST 27,Leeds,Leeds - Garden Party - Farsley - Miss Fielden .,Garden Party - Farsley,['Miss Fielden'],"AUGUST 18 , 1910"
AUGUST 27,London,London - Highgate - Open - air Meeting .,Highgate - Open - air Meeting,,"AUGUST 18 , 1910"
AUGUST 29,London,London Windsor - Grove Road Schoolroom - At Home .,Windsor - Grove Road Schoolroom - At Home,,"AUGUST 18 , 1910"
SEPTEMBER 1,London,London - Highgate - Open - air Meeting .,Highgate - Open - air Meeting,,"AUGUST 18 , 1910"
SEPTEMBER 3,London,London - Enfield - Women's Co - operative Guild - Miss Rinder .,Enfield - Women's Co - operative Guild,['Miss Rinder'],"AUGUST 18 , 1910"
SEPTEMBER 10,London,London - Highgate - Open - air Meeting .,Highgate - Open - air Meeting,,"AUGUST 18 , 1910"
SEPTEMBER 24,London,London - Highgate - Open - air Meeting .,Highgate - Open - air Meeting,,"AUGUST 18 , 1910"
SEPTEMBER 26,London,London - Highgate - Annual Meeting Lantern Lecture Miss Bertha Mason,Highgate - Annual Meeting Lantern Lecture,['Miss Bertha Mason'],"AUGUST 18 , 1910"
