Date,Location,Raw,Description,Speakers,Hosts,Issue date
MARCH 30,Haslemere - The White House,Haslemere - The White House - Drawing - room Meeting - Rev . Claude Hinscliff .,Drawing-room Meeting,['Rev. Claude Hinscliff'],,"MARCH 30 , 1911"
MARCH 30,Mary Bell's Drawing-room,Mary Bell's Drawing - room Meeting - Miss Abadam .,Drawing-room Meeting,['Miss Abadam'],,"MARCH 30 , 1911"
MARCH 30,Norwich,"Norwich - Dr . Langdon , Esq . , K.C. , Mrs. Stuart ( chair ) .",,"['Dr. Langdon', 'Mrs. Stuart']",,"MARCH 30 , 1911"
MARCH 30,Great Yarmouth - Town Hall,Great Yarmouth - Town Hall - Miss Abadam .,,['Miss Abadam'],,"MARCH 30 , 1911"
MARCH 30,Reigate Mrs. Morrison's Drawing-room,Reigate Mrs. Morrison's Drawing - room Meeting - Rev . Ivory Cripps .,Drawing-room Meeting,['Rev. Ivory Cripps'],,"MARCH 30 , 1911"
MARCH 30,"Liverpool - Rushworth Hall, Islington","Liverpool - Rushworth Hall , Islington - Annual Meeting - Mrs . E. Stewart Brown ( chair ) , Miss Horniman , and others .",Annual Meeting,"['Mrs. E. Stewart Brown', 'Miss Horniman']",,"MARCH 30 , 1911"
MARCH 30,Stocksfield Mrs. Graeme Thompson's Drawing-room,"Stocksfield Mrs. Graeme Thompson's Drawing - room Meeting- Miss C. M. Gordon , M.A.",Drawing-room Meeting,['Miss C. M. Gordon'],,"MARCH 30 , 1911"
MARCH 31,Norwich Thatched Assembly Rooms,"Norwich Thatched Assembly Rooms Annual Meeting - A . M. Langdon , Esq . , K.C. , Mrs. Stuart ( chair ) .",Annual Meeting,"['A. M. Langdon', 'Mrs. Stuart']",,"MARCH 30 , 1911"
MARCH 31,Penrith St. Andrew's Hall,"Penrith St. Andrew's Hall - Miss Abadam , Mrs. Slack ( chair ) .",,"['Miss Abadam', 'Mrs. Slack']",,"MARCH 30 , 1911"
MARCH 31,Stevenage Public Hall,Stevenage Public Hall - Miss I. O. Ford .,,['Miss I. O. Ford'],,"MARCH 30 , 1911"
MARCH 31,Eccles Town Hall,"Eccles Town Hall - Public Meeting - Coun . T. Lightfoot ( chair ) , Mrs. Philip Snowden , Coun . Margaret Ashton , M.A. , W. Field - Till , Esq .",Public Meeting,"['Coun. T. Lightfoot', 'Mrs. Philip Snowden', 'Coun. Margaret Ashton', 'W. Field-Till']",,"MARCH 30 , 1911"
