Date,Location,Raw,Speakers,Hosts,Issue date
JAN . 24,Bow,"Bow , The Obelisk . M.P.U. Mr. Charles Gray , Miss Meakins . Annual Meeting","['Mr. Charles Gray', 'Miss Meakins', 'Miss Ada Moore', 'Mrs. Theresa Gough', 'Mr. Willox', 'Mr. Thornton Jones', 'Mr. H. B. Macpherson', 'Mr. Mark Wilks', 'Miss Lightman', 'Miss Clifford', 'Miss M. Wright', 'Miss Wilson', 'Mr. Jacobs', 'Miss Ayrton', 'Mrs. Dacre Fox', 'Miss Canning', 'Miss L. Phillips', 'Miss Gwen Richard', 'Miss Hopkins', 'Miss Friedlaender', 'Mr. Futvoye', 'Mr. Prout', 'Lieut . Cather', 'Dr. Macpherson', 'Miss Wadeson', 'Miss Belile', 'Miss Kelly', 'Miss Cox', 'Miss Joan Dugdale', 'Mr. Victor Duval', 'Miss Guttridge', 'Mr. Prout', 'Dr. Macpherson', 'Mr. Thornton Jones', 'Mr. Pamment', 'Miss Annie Kenney', 'Mrs. Drummond', 'Miss I. Green', 'Mrs. Indgo', 'Miss A. Winter', 'Mr. C. Mansell Moullin', 'Miss Margaret Wright', 'Mrs. Lamartine Yates', 'Miss Canning', 'Mrs. Saul Solomon', 'Mr. J. Y. Kennedy', 'Madame Alice Godfrey', 'Miss Haslam', 'Miss Hicks', 'Mrs. Gladstone Solomon', 'Miss Bonwick', 'Mrs. Dove Willcox', 'Mrs. Bouvier', 'Miss Richmond', 'Miss Croxon', 'Mrs. Dacre Fox', 'Miss G. Richard', 'Miss Gregory', 'Miss E. Billing', 'Miss Parker', 'Miss Brown', 'Miss Lambie', 'Miss M. Scott', 'Miss Shaw', 'Mr. George Lansbury', 'Dr. Helena Jones', 'Mrs. John', 'Miss M. Burn Murdoch', 'Miss Grant', 'Miss Melrose', 'Miss Hudson', 'Miss A. Scott', 'Miss Fitzroy', 'Miss E. Macdonald', 'Miss Gardiner', 'Miss Burn Murdoch', 'Miss A. - Williams', 'Miss Hicks', 'Miss E. Billing', 'Mrs. Theresa Gough', 'Miss G. Keevil', 'Miss G. Keevil', 'Mrs. Theresa Gough', 'Mr. Ernest Jones', 'Mr. F. Wolverson', 'Mrs. Gough', 'Miss C. Grant', 'Miss Vera Wentworth', 'Miss L. Gonicle', 'Mrs. Renny', 'Miss McFarlane', 'Miss J. Taylor', 'Miss Grant', 'Miss Parker', 'Miss A. Cuthbert', 'Miss L. Mitchell', 'Miss A. Williams', 'Miss Haly', 'Mrs. Gough', 'Mrs. Blair', 'Mrs. Gough', 'Mrs. Charlton', 'Miss A. Kelly', 'Miss Evelyn Billing', 'Mrs. Gough', 'Mrs. Suffern', 'Mrs. Gough', 'Mrs. Blair', 'Miss A. Williams', 'Miss H. Gelder', 'Miss Naylor', 'Miss A. Jessie Smith', 'Mrs. Harman', 'Mrs. Pankhurst', 'Miss Annie Kenney', 'Mrs. Drummond', 'Mrs. Merivale - Mayer', 'Mrs. Cecil Chapman', 'Dr. Letitia Fairfield', 'Rev. G. Rosenthal', 'Rev. Hon. S. Maitland', 'Miss Ford', 'Mr. W. H. Jewson', 'Messrs . A. Richardson', 'Messrs . S. Helmsley', 'Mr. Lansbury', 'Mr. Reginald Pott', 'Mr. Cameron Grant', 'Miss Hessel', 'Mr. Fenn', 'Miss Craig', 'Mr. Bert Killip', 'Miss Naylor', 'Miss Marion Pollock', 'Miss Parker', 'Mr. Clarke', 'Mrs. John', 'Miss Underwood', 'Mrs. Theresa Gough', 'Mrs. Pankhurst', 'Mrs. Kidd', 'Rev. Anthony Fenn', 'Miss Georgina Brackenbury', 'Miss Brackenbury', 'Mr. Fenn', 'Mr. Jewson', 'Mr. G. H. Roberts', 'Mr. Duncan', 'Mr. Richardson', 'Miss Craig', 'Mrs. Douglas - Reid', 'Mrs. Gill', 'Miss Page', 'Miss M. Steward', 'Miss Roe', 'Mrs. Pankhurst', 'Miss Naylor', 'Miss Symes', 'Dr. Cobb', 'Mrs. Merivale Mayer', 'Miss McGowan', 'Mr. Robert Maitland', 'Mr. W. Lyon Blense', 'Rev. E. J. Gould']",,"January 24 , 1913"
JAN . 24,Chelsea,"Chelsen , 308 , King's - road . 8 p.m.",,,"January 24 , 1913"
JAN . 24,Chelsea,"Chelsea , 308 , King's - road . Miss Ada Moore 5 p.m.",,,"January 24 , 1913"
JAN . 24,Clapham,"Clapham , The Plough . Mrs. Theresa Gough 8 p.m.",,,"January 24 , 1913"
JAN . 24,Kilburn,"Kilburn , Messina - avenue 8 p.m.",,,"January 24 , 1913"
JAN . 24,"Lincoln's Inn House, Kingsway, W.C.","Lincoln's Inn House , Kingsway , W.C. Speakers ' Class . Miss Rosa Leo",,,"January 24 , 1913"
JAN . 24,Sloane-square,Sloane - square . Miss Naylor 12 noon,,,"January 24 , 1913"
JAN . 24,Westminster,"Westminster , Horseferry - road . M.F.W.S. Mr. Willox , Mr. Thornton Jones , Mr. H. B. Macpherson , Mr. Mark Wilks . 8 p.m.",,,"January 24 , 1913"
JAN . 24,Woolwich,"Woolwich , Eleanor - road . Miss Lightman . Chair : Miss Clifford 7.45 p.m.",,,"January 24 , 1913"
JAN . 25,Harlesden,"Harlesden , Manor Park - road . Miss M. Wright , Miss Wilson 8 p.m.",,,"January 24 , 1913"
JAN . 25,Ilford,"Ilford , Balfour - road . Mr. Jacobs 8 p.m.",,,"January 24 , 1913"
JAN . 25,Kilburn,"Kilburn , Glengall - road . Miss Ayrton 8 p.m.",,,"January 24 , 1913"
JAN . 25,Kingston,"Kingston , Church - street . Mrs , Dacre Fox 12 noon",,,"January 24 , 1913"
JAN . 25,Limehouse,Limehouse . Miss Canning 8 p.m.,,,"January 24 , 1913"
JAN . 25,North Kensington,"North Kensington , 3 , Testerton - street . Miss L. Phillips 8 p.m.",,,"January 24 , 1913"
JAN . 25,Putney,"Putney , Werter - road . Miss Gwen Richard 7.30 p.m.",,,"January 24 , 1913"
JAN . 25,Walthamstow,"Walthamstow , Trinity Schoolroom , Orford - road . "" At Home . "" 8 p.m.",,,"January 24 , 1913"
JAN . 25,Stratford,"Stratford , Maryland - point . Miss Hopkins . Chair : Miss Friedlaender 8 p.m.",,,"January 24 , 1913"
JAN . 25,Streatham,"Streatham , Gleneldon - road 8 p.m.",,,"January 24 , 1913"
JAN . 25,Westminster,"Westminster , Tachbrook - street . M.F.W.S. Mr. Futvoye , Mr. Prout , Lieut . Cather , Dr. Macpherson 7.30 p.m.",,,"January 24 , 1913"
JAN . 25,Willesden Green Library,Willesden Green Library : Miss Wadeson 7 p.m.,,,"January 24 , 1913"
JAN . 25,Wimbledon Broadway,Wimbledon Broadway . Chair : Miss Belile 7.30 p.m.,,,"January 24 , 1913"
JAN . 25,Woolwich,"Woolwich , Eleanor - road . Miss Kelly . Chair : Miss Cox 7.30 p.m.",,,"January 24 , 1913"
JAN . 26,Hampstead Heath,"Hampstead Heath , Flagstaff . Miss Joan Dugdale 11.30 a.m.",,,"January 24 , 1913"
JAN . 26,Hyde Park,"Hyde Park , near Marble Arch . M.P.U. Mr. Victor Duval , Miss Guttridge 3 p.m.",,,"January 24 , 1913"
JAN . 26,Wimbledon Common,Wimbledon Common 3 p.m.,,,"January 24 , 1913"
JAN . 26,Victoria Park,"Victoria Park . M.F.W.S. Mr. Thornton Jones , Mr. Pamment , Mr. Prout , Dr. Macpherson 2.30 p.m.",,,"January 24 , 1913"
JAN . 27,"Holborn Hall, Gray's Inn-road, W.C.","Holborn Hall , Gray's Inn - road , W.C. ( Women cnly . ) Mrs. Pankhurst , Miss Annie Kenney , Mrs. Drummond 8 p.m.","['Mrs. Pankhurst', 'Miss Annie Kenney', 'Mrs. Drummond', 'Miss Inez Bensusan', 'Mrs. Zangwill', 'Rev. Hugh Chapman', 'Mrs. Dacre Fox', 'Miss Margaret Wright', 'Mr. Mansell - Moullin', 'Mrs. Lamartine Yates', 'Mr. J. Y. Kennedy', 'Mrs. Saul Solomon', 'Madame Alice Godfrey', 'Mrs. Pankhurst', 'Miss Annie Kenney', 'Mrs. Drummond', 'Mr. C. Mansell Moullin', 'Miss Margaret Wright', 'Mrs. Lamartine Yates', 'Mr. George Lansbury', 'Mrs. Merivale - Mayer', 'Mr. Lansbury', 'Mrs. Pethick Lawrence', 'Mr. Victor Prout', 'Miss Greta Allen', 'Mrs. Pankhurst', 'Miss Nancy Lightman', 'Dr. Kerr', 'Miss Naylor', 'Mr. Fenn', 'Mrs. Pankhurst', 'Mrs. Dacre Fox', 'Miss Ada Moore', 'Mrs. Bouvier', 'Miss Rosa Leo', 'Mrs. Dacre Fox', 'Miss G. Richard', 'Miss Clifford', 'Miss Greta Allen', 'Miss G. Keevil', 'Miss G. Keevil', 'Mrs. Theresa Gough', 'Mr. Ernest Jones', 'Miss J. Smith', 'Mrs. Gough', 'Miss C. Grant', 'Miss Vera Wentworth', 'Miss L. Gonicle', 'Mrs. Renny', 'Miss McFarlane', 'Miss J. Taylor', 'Miss Grant', 'Miss Parker', 'Miss A. Cuthbert', 'Miss L. Mitchell', 'Miss A. Williams', 'Miss Haly', 'Mrs. Gough', 'Mrs. Blair', 'Mrs. Gough', 'Mrs. Charlton', 'Miss A. Kelly', 'Miss Evelyn Billing', 'Mrs. Gough', 'Mrs. Suffern', 'Mrs. Gough', 'Mrs. Blair', 'Miss A. Williams', 'Miss H. Gelder', 'Councillor Holvey', 'Miss Francis', 'Mr. le Gallienne', 'Miss Pridden', 'Rev. Anthony Fenn', 'Miss Georgina Brackenbury', 'Mr. Duncan', 'Mr. Richardson', 'Miss Craig', 'Mr. Fenn', 'Miss Naylor', 'Miss Symes', 'Dr. Cobb', 'Mr. Robert Maitland', 'Mr. W. H. Jewson', 'Messrs . A. Richardson', 'Messrs . S. Helmsley', 'Rev. E. J. Gould']",,"January 24 , 1913"
JAN . 27,Kilburn,"Kilburn , Birchington - road 8 p.m.",,,"January 24 , 1913"
JAN . 27,"London Pavilion, Piccadilly-circus, W.","London Pavilion , Piccadilly - circus , W. Mrs. Pankhurst , Miss Annie Kenney , Mrs. Drummond 3.15 p.m.",,,"January 24 , 1913"
JAN . 27,New Barking,"New Barking , 1 , Wilmington - gardens , Faircross . Miss I. Green . Hostess : Mrs. Indgo 8 p.m.",['Miss I. Green'],['Mrs. Indgo'],"January 24 , 1913"
JAN . 27,North Kensington,"North Kensington , Queensdale - road . Miss A. Winter 7.30 p.m.",,,"January 24 , 1913"
JAN . 27,Wimbledon,"Wimbledon , Queen's Hall , Broadway . Mr. C. Mansell Moullin , F.R.C.S. Miss Margaret Wright , Mrs. Lamartine Yates 8 p.m.",,,"January 24 , 1913"
JAN . 28,Clapham,"Clapham , Morris Hall , North - street , Old Tower . Women's Meeting . Miss Canning 2.30 p.m.",,,"January 24 , 1913"
JAN . 28,Golder's Green,"Golder's Green , 26n , The Parade . Public Tea and Meeting 4.30-6.30p.m.",,,"January 24 , 1913"
JAN . 28,Hampstead,"Hampstead , 2 , Crossfield - road . "" At Home . "" Mrs. Saul Solomon , Mr. J. Y. Kennedy . Hostess : Madame Alice Godfrey 8.15 p.m.","['Mrs. Saul Solomon', 'Mr. J. Y. Kennedy']",['Madame Alice Godfrey'],"January 24 , 1913"
JAN . 28,"Horticultural Hall, Vincent-square, Westminster","Horticultural Hall , Vincent - square , Westminster . ( Women only . ) Mrs , Pankhurst , Miss Annie Kenney , Mrs. Drummond 6.45 p.m.",,,"January 24 , 1913"
JAN . 28,Kilburn,"Kilburn , Glengall - road 8 p.m.",,,"January 24 , 1913"
JAN . 28,Mile End-road,"Mile End - road , Canal Bridge . Miss Haslam 8 p.m.",,,"January 24 , 1913"
JAN . 28,Palmer's Green,"Palmer's Green , 6 , Stonard - road . Fireside Talks 7.45 p.m.",,,"January 24 , 1913"
JAN . 28,Streatham,"Streatham , 5 , Shrubbery - road . Members ' Meeting 8 p.m.",,,"January 24 , 1913"
JAN . 29,"Essex Hall, Essex-street, Strand","Essex Hall , Essex - street , Strand . ( Women only . ) Mrs. Pank- hurst , Miss Annie Kenney , Mrs. Drummond 6.45 p.m.",,,"January 24 , 1913"
JAN . 29,Ilford,"lford , Manor Park , Earl of Essex . Miss Harvey 8 p.m.",,,"January 24 , 1913"
JAN . 29,Kilburn,"Kilburn , Brondesbury Hall . Mrs. Zangwill , Rev. Hugh Chapman , Mrs. Dacre Fox , Miss Inez Bensusan 8 p.m.",,,"January 24 , 1913"
JAN . 29,North Kensington,"North Kensington , 3 , Testerton - street . Dr. Flora Murray 8 p.m.",,,"January 24 , 1913"
JAN . 29,Woolwich,"Woolwich , The Square . Miss Gibson . Chair : Miss Gregory 2.30 p.m.",,,"January 24 , 1913"
JAN . 30,Crouch End,"Crouch End , Park - road Council School . Debate . Miss Hicks , M.A. , Mrs. Gladstone Solomon . Chair : Miss Bonwick , B.A 7.30 p.m.",,,"January 24 , 1913"
JAN . 30,"Essex Hall, Essex-street, Strand","Essex Hall , Essex - street , Strand . ( Women only . ) Mrs. Pank- hurst , Miss Annie Kenney , Mrs. Drummond 8 p.m.",,,"January 24 , 1913"
JAN . 31,Chelsea,"Chelsea , 308 , King's - road . Mrs. Dove Willcox 5 p.m.",,,"January 24 , 1913"
JAN . 31,Clapham,"Clapham , The Plough . Mrs. Bouvier 8 p.m.",,,"January 24 , 1913"
JAN . 31,"Lincoln's Inn House, Kingsway, W.C.","Lincoln's Inn House , Kingsway , W.C. Speakers Class . Miss Rosa Leo 12 noon",,,"January 24 , 1913"
JAN . 31,Mile End Waste,"Mile End Waste . Miss Richmond , Miss Croxon 8 p.m.",,,"January 24 , 1913"
JAN . 31,Sloane-square,Sloane - square . Mrs. Dacre Fox 7.45 p.m.,,,"January 24 , 1913"
JAN . 31,Woolwich,"Woolwich , Eleanor - road . Miss G. Richard . Chair : Miss Clifford 7.30 p.m.",,,"January 24 , 1913"
JAN . 24,Canterbury,"Canterbury , Westgate Tower . Miss E. Billing 7.15 p.m.",,,"January 24 , 1913"
JAN . 24,Dundee,"Dundee , West Port . Miss Parker 7.30 p.m.",,,"January 24 , 1913"
JAN . 23,Prestonpans,Prestonpans . Miss Brown . Chair : Miss Lambie 7.30 p.m.,,,"January 24 , 1913"
JAN . 23,Edinburgh,"Edinburgh , West End . Miss M. Scott . Chair : Miss Shaw 7.30 p.m.",,,"January 24 , 1913"
JAN . 23,Halifax,"Halifax , Friendly and Trades ' Club , Large Hall . Mr. George Lansbury . Chair : Dr. Helena Jones 7.45 p.m.",,,"January 24 , 1913"
JAN . 23,Newhaven,"Newhaven , Fishermen's Hall . Mrs. John . Chair : Miss M. Burn Murdoch 8 p.m.",,,"January 24 , 1913"
JAN . 25,Dundee,"Dundee , Greenmarket . Miss Grant 8 p.m.",,,"January 24 , 1913"
JAN . 25,Dalkeith,Dalkeith . Miss Melrose . Chair : Miss Hudson 7.30 p.m.,,,"January 24 , 1913"
JAN . 25,Edinburgh,"Edinburgh , St. David - street . Miss A. Scott , Miss Fitzroy 8 p.m.",,,"January 24 , 1913"
JAN . 25,Musselburgh,Musselburgh . Miss E. Macdonald . Chair : Miss Gardiner 7.30 p.m.,,,"January 24 , 1913"
JAN . 26,Bo'ness,Bo'ness Independent Labour Party . Miss Burn Murdoch 7.30 p.m.,,,"January 24 , 1913"
JAN . 26,Llandaff North,"Llandaff North , A.S.R.S. , Co - operative Hall . Miss A. - Williams 8 p.m.",,,"January 24 , 1913"
JAN . 27,Canterbury,"Canterbury , Foresters ' Hall . Miss Hicks , M.A. Chair : Miss E. Billing 8 p.m.",,,"January 24 , 1913"
JAN . 27,Glasgow,"Glasgow , Charing Cross Halls . Mrs. Theresa Gough 8 p.m.",,,"January 24 , 1913"
JAN . 27,Hastings,"Hastings , Lower Public Hall . Miss G. Keevil 7.30 p.m.",,,"January 24 , 1913"
JAN . 28,Bexhill,"Bexhill , W.S.P.U. Shop . Miss G. Keevil 3.30 p.m.",,,"January 24 , 1913"
JAN . 28,Glasgow,"Glasgow , Milngarie Hall . Mrs. Theresa Gough 7.30 p.m.",,,"January 24 , 1913"
JAN . 28,Nottingham,"Nottingham ; Free Speakers Association , Lecture Hall , Bluecoat- street 7.30 p.m.",,,"January 24 , 1913"
JAN . 28,Walsall,"Walsall , Co - operative Hall . Lantern Lecture . Mr. Ernest Jones , ... M.D. Chair : Mr. F. Wolverson , M.D 8 p.m.",,,"January 24 , 1913"
JAN . 29,Birmingham,"Birmingham , Aston , Ruskin Hall , Victoria - road . Lantern Show 5.30 p.m.",,,"January 24 , 1913"
JAN . 29,Cardiff,"Cardiff , Arts Hall . Social . Miss J. Smith 6.30 p.m.",,,"January 24 , 1913"
JAN . 29,Dundee,"Dundee , Albert - square . Demonstration . Mrs. Gough , Miss C. 7-10 p.m. Grant , Miss Vera Wentworth , Miss L. Gonicle , Mrs. Renny , Miss McFarlane , Miss J. Taylor , Miss Grant , Miss Parker , Miss A. Cuthbert",,,"January 24 , 1913"
