Date,Location,Raw,Speakers,Description,Hosts,Issue date
"Friday, May 23","Chelsea, 308, King's Road","Chelsea , 308 , King's Road . Mrs. Hinchley ,",['Mrs. Hinchley'],,,"May 23, 1913"
"Friday, May 23","Chelsea, 308, King's Road","Chelsea , 308 , King's Road . Lincoln's Inn House , Kingsway",[],,,"May 23, 1913"
"Friday, May 23","North Kensington, Free Library","North Kensington , Free Library Miss Joan Wickham .",['Miss Joan Wickham'],,,"May 23, 1913"
"Friday, May 23",Sloane Square,Sloane Square .,[],,,"May 23, 1913"
"Saturday, May 24","Battersea, Strath Terrace, St. John's Hill","Battersea , Strath Terrace , St. John's Hill . Miss Randall .",['Miss Randall'],,,"May 23, 1913"
"Saturday, May 24",Chelsea,Chelsea . Miss Wickham .,['Miss Wickham'],,,"May 23, 1913"
"Saturday, May 24","Ilford, Balfour Road","Ilford , Balfour Road . Miss Haslam .",['Miss Haslam'],,,"May 23, 1913"
"Saturday, May 24","Islington, Holloway Rd., outside Jones Bros.","Islington , Holloway Rd . , outside Jones Bros. . Miss G. Richard .",['Miss G. Richard'],,,"May 23, 1913"
"Saturday, May 24","Muswell Hill, Queen's Avenue","Muswell Hill , Queen's Avenue Miss Bonwick , B.A. .","['Miss Bonwick, B.A.']",,,"May 23, 1913"
"Saturday, May 24","Walthamstow, Tower Corner, Hoe Street","Walthamstow , Tower Corner , Hoe Street Mrs. Gladman .",['Mrs. Gladman'],,,"May 23, 1913"
"Sunday, May 25",Wimbledon Broadway,Wimbledon Broadway . Miss Jacobs .,['Miss Jacobs'],,,"May 23, 1913"
"Sunday, May 25",Ealing Common,Ealing Common . Mrs. Beatty .,['Mrs. Beatty'],,,"May 23, 1913"
"Sunday, May 25","Hampstead Heath, Flagstaff","Hampstead Heath , Flagstaff . Mrs. Dacre Fox .",['Mrs. Dacre Fox'],,,"May 23, 1913"
"Sunday, May 25",Victoria Park,Victoria Park Demonstration .,[],Demonstration,,"May 23, 1913"
"Sunday, May 25",Wimbledon Common,Wimbledon Common . Mrs. Lamartine Yates ..,['Mrs. Lamartine Yates'],,,"May 23, 1913"
