Date,Location,Raw,Hosts,Speakers,Description,Issue date
"FRIDAY, NOVEMBER 1",Balham,"Balham, 21, Culverden - road. Hostess: Mrs. Grubb",['Mrs. Grubb'],[],,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Barnet,"Barnet, Tilbury's Tea Rooms.",,[],,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Camden Town,"Camden Town, Cobden Statue.",,[],,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Croydon,"Croydon, Katherine - street",,[],,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Hampstead,"Hampstead, 173, Finchley - road. Members Whist Drive",,[],Members Whist Drive,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Homerton,"Homerton, Well - street and Berger - road.",,[],,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Ilford,"Ilford, East Ham, The Cock.",,[],,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Kingston,"Kingston, 13, Union - street. Hostess: Miss Social Evening.",['Miss'],[],Social Evening,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Kingston,"Kingston, Scotch Café.",,[],,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Lincoln's Inn House,"Lincoln's Inn House, Kingsway, W.C.",,[],,"November 1, 1912"
"FRIDAY, NOVEMBER 1",Woolwich,"Woolwich, Eleanor - road. Chair: Miss Clifford",,[],,"November 1, 1912"
"SATURDAY, NOVEMBER 2",Clapton Pond,"Clapton Pond, Lower Clapton - road. Chair: Miss Shoults",,[],,"November 1, 1912"
"SATURDAY, NOVEMBER 2",Finsbury Park,"Finsbury Park, 19. St. Thomas - road.",,[],,"November 1, 1912"
"SATURDAY, NOVEMBER 2",Golder's Green,Golder's Green.,,[],,"November 1, 1912"
"SATURDAY, NOVEMBER 2",Hackney Library,"Hackney Library, Mare - street. Mrs. Davies",,['Mrs. Davies'],,"November 1, 1912"
"SATURDAY, NOVEMBER 2",Hammersmith,"Hammersmith, 95, The Grove. Speakers Madame Moore Mrs.",,"['Madame Moore', 'Mrs']",,"November 1, 1912"
"SATURDAY, NOVEMBER 2",Holloway-road,"Holloway - road, outside Jones Bros.",,[],,"November 1, 1912"
"SATURDAY, NOVEMBER 2",Harlesden,"Harlesden, Manor Park - road.",,[],,"November 1, 1912"
"SATURDAY, NOVEMBER 2",Ilford,"Ilford, Balfour - road.",,[],,"November 1, 1912"
