Date,Location,Raw,Speakers,Description,Issue date
"Friday , September 5","Pinner , Village","Pinner , Village . Miss Jacobs",['Miss Jacobs'],,"September 5 , 1913"
"Friday , September 5",Ealing Common,"Ealing Common . Miss Elsa Myers , Mr. C. E. Prater","['Miss Elsa Myers', 'Mr. C. E. Prater']",,"September 5 , 1913"
"Friday , September 5","Lewisham , Market Place","Lewisham , Market Place . Miss E. C. Froud . Chair : Miss Collett",['Miss E. C. Froud'],,"September 5 , 1913"
"Friday , September 5","Hampstead Heath , Flagstaff","Hampstead Heath , Flagstaff . Miss Hicks , M.A.",['Miss Hicks'],,"September 5 , 1913"
"Friday , September 5","Poplar , East Julia Dock Gats","Poplar , East Julia Dock Gats",,"M.F W.S. , Club Row . Mr. W. Culin , Mr. J. Quinn Whitechapel Church . M.E.W.S. "" Mr. W. Culen , Mr. J. Quinn","September 5 , 1913"
"Friday , September 5",Clapham Common,Clapham Common . Miss Glidewell . Chair : Miss Smith,['Miss Glidewell'],,"September 5 , 1913"
"Friday , September 5",Streatham Common,Streatham Common,,,"September 5 , 1913"
"Friday , September 5",Bethnal Green Read,Bethnal Green Read,,,"September 5 , 1913"
"Friday , September 5",Ilford . Station,Ilford . Station . Miss Anderson,['Miss Anderson'],,"September 5 , 1913"
"Friday , September 5",Stratford Broadway,Stratford Broadway,,,"September 5 , 1913"
"Saturday , September 6","Battersea , Strath Terrace","Battersea , Strath Terrace . Mr. Clark",['Mr. Clark'],,"September 5 , 1913"
"Saturday , September 6","Ilford , Balfour Road","Ilford , Balfour Road . Miss Davies",['Miss Davies'],,"September 5 , 1913"
"Saturday , September 6","South Wimbledon , Broadway","South Wimbledon , Broadway . Miss Richard",['Miss Richard'],,"September 5 , 1913"
"Saturday , September 6",Forest Gate Station,Forest Gate Station,,,"September 5 , 1913"
"Saturday , September 6","Palmer's Green , Alderman's Hill","Palmer's Green , Alderman's Hill . Miss Bouwick , B.A .",['Miss Bonwick'],,"September 5 , 1913"
"Saturday , September 6","Crouch End , Clock Tower","Crouch End , Clock Tower . Miss Richmond . Chair : Miss Newstead",['Miss Richmond'],,"September 5 , 1913"
"Saturday , September 6","Holloway Road , outside Jones Bros.","Holloway Road , outside Jones Bros. M.P.U. Billinghurst , Mr. Allan Clark Mr. A. J.","['Billinghurst', 'Mr. Allan Clark', 'Mr. A. J.']",,"September 5 , 1913"
"Sunday , September 7","Bow , Victoria Park","Bow , Victoria Park . Mrs. Bouvier",['Mrs. Bouvier'],,"September 5 , 1913"
"Sunday , September 7",Wimbledon Common,Wimbledon Common,,,"September 5 , 1913"
"Sunday , September 7",Mile End Waste,"Mile End Waste . M ss Bonwick , B.A. Chair : Miss Newstead",['Miss Bonwick'],,"September 5 , 1913"
"Sunday , September 7","Battersea , Lavender Road","Battersea , Lavender Road . M.s. Duval",['M.s. Duval'],,"September 5 , 1913"
"Sunday , September 7","Poplar , East India Duck Gates","Poplar , East India Duck Gates . Miss Feek",['Miss Feek'],,"September 5 , 1913"
"Monday , September 8","Bow , 321 , Roumn Road","Bow , 321 , Roumn Road",,,"September 5 , 1913"
"Monday , September 8","Bow . The Ob lisk Poplar . Socialist Hail , High Street","Bow . The Ob lisk Poplar . Socialist Hail , High Street . Miss Emma Wyl'e",['Miss Emma Wylie'],,"September 5 , 1913"
