Date,Location,Raw,Description,Speakers,Time,Hosts,Issue date
"Thursday, January 13, 1910",Eustace Miles Restaurant,"Further , at an enthusiastic meeting at the Eustace Miles Restaurant on Thursday , January 13 , a strong resolution pledging the meeting to "" sink all other political questions until women are given the Parliamentary vote "" was passed unanimously , and the audience , most of whom were Liberals , agreed to use their votes and all their political pressure against Liberal candidates .","A strong resolution pledging the meeting to sink all other political questions until women are given the Parliamentary vote was passed unanimously, and the audience, most of whom were Liberals, agreed to use their votes and all their political pressure against Liberal candidates.",,,,"January 21, 1910"
"Monday, January 24, 1910","Queen's Hall, London","On Monday next , January 24 , at the Queen's Hall , from 3 to 5 , Miss Christabel Pankhurst and Mrs. Pethick Lawrence will speak , and Miss Evelyn Sharp and Miss C. Margesson will give an account of their very successful election campaigns in N. Kensington and St. Pancras .",,"['Miss Christabel Pankhurst', 'Mrs. Pethick Lawrence', 'Miss Evelyn Sharp', 'Miss C. Margesson']",from 3 to 5,,"January 21, 1910"
"Thursday, January 27, 1910","St. James's Hall, London","Those who find it more convenient to go to an evening meeting have their opportunities on Thursday even- ings at St. James's Hall , at 8 o'clock . Next Thursday Miss L. Tyson will speak on the election campaign in Streatham , Miss Haig on Chelsea , and Miss Bonwick on N. Islington .",,"['Miss L. Tyson', 'Miss Haig', 'Miss Bonwick']",8 o'clock,,"January 21, 1910"
"Friday, March 18, 1910","Albert Hall, London","The next great ticket meeting in London will take place in the Albert Hall on Friday , March 18 , and those wishing to be present should apply for tickets without delay .",Great ticket meeting,,,,"January 21, 1910"
"Monday, January 24, 1910",Worksop,Next Monday Mrs. Pankhurst will speak at Worksop,,['Mrs. Pankhurst'],,,"January 21, 1910"
"February 15, 1910",Croydon,and on February 15 at Croydon .,,['Mrs. Pankhurst'],,,"January 21, 1910"
"Wednesday, February 24, 1910","Edinburgh, Synod Hall","Among other important public meetings arranged is oe at Edinburgh , when friends of the movement , as well as those anxious for further information about it , will have an opportunity of hearing Mrs. Pethick Lawrence in the Synod Hall . This is on Wednesday , Feb- ruary 24 .",,['Mrs. Pethick Lawrence'],Wednesday,,"January 21, 1910"
"April 28, 1910",Glasgow,"The promoters of the Scottish Exhi- bition and Sale of Work which , as already announced , will be held in Glasgow on April 28 , 29 and 30 , will gladly wel- come gifts suitable for the various stalls .",Scottish Exhibition and Sale of Work,,,,"January 21, 1910"
"April 29, 1910",Glasgow,"The promoters of the Scottish Exhi- bition and Sale of Work which , as already announced , will be held in Glasgow on April 28 , 29 and 30 , will gladly wel- come gifts suitable for the various stalls .",Scottish Exhibition and Sale of Work,,,,"January 21, 1910"
"April 30, 1910",Glasgow,"The promoters of the Scottish Exhi- bition and Sale of Work which , as already announced , will be held in Glasgow on April 28 , 29 and 30 , will gladly wel- come gifts suitable for the various stalls .",Scottish Exhibition and Sale of Work,,,,"January 21, 1910"
"January 21, 1910","Pirnmill, Arran","Friday . Pirnmill , Arran , Mrs. Drummond .",,['Mrs. Drummond'],,,"January 21, 1910"
"January 22, 1910","Lochranza, Arran","Saturday . Lochranza , Arran , Mrs. Drummond .",,['Mrs. Drummond'],,,"January 21, 1910"
"January 24, 1910","Shiskine, Arran","Monday - Shiskine , Arran , Mrs. Drummond .",,['Mrs. Drummond'],,,"January 21, 1910"
"January 25, 1910","Lamlash, Arran","Tuesday , Lamlash , Arran , Mrs. Drummond .",,['Mrs. Drummond'],,,"January 21, 1910"
"January 26, 1910","Brodick, Arran","Wednesday . Brodick , Arran , Mrs. Drummond .",,['Mrs. Drummond'],,,"January 21, 1910"
"January 27, 1910","Corrie, Arran","Thursday . - Corrie , Arran , Mrs. Drummond .",,['Mrs. Drummond'],,,"January 21, 1910"
"January 21, 1910",Banks,when a meeting was nounced for Banks on Friday night last,,,Friday night,,"January 21, 1910"
"January 21, 1910","Ainsdale, Schoolroom","Friday . Ainsdale , Schoolroom , Miss Marsden , 8",,['Miss Marsden'],8 p.m.,,"January 21, 1910"
"January 21, 1910","26, Neville Street","Friday . Ainsdale , Schoolroom , Miss Marsden , 8 ; 26 , Neville Street , noon and 8 p.m.",,,noon and 8 p.m.,,"January 21, 1910"
"January 22, 1910",Cambridge Hall,"Saturday . - Cambridge Hall , Mrs. Pankhurst , Miss Mary Gawthorpe , Miss Dora Marsden , 3.30",,"['Mrs. Pankhurst', 'Miss Mary Gawthorpe', 'Miss Dora Marsden']",3.30,,"January 21, 1910"
"January 22, 1910","Banks, Schoolroom","Saturday . - Cambridge Hall , Mrs. Pankhurst , Miss Mary Gawthorpe , Miss Dora Marsden , 3.30 ; Banks , Schoolroom , 8",,,8 p.m.,,"January 21, 1910"
"January 22, 1910","26, Neville Street","Saturday . - Cambridge Hall , Mrs. Pankhurst , Miss Mary Gawthorpe , Miss Dora Marsden , 3.30 ; Banks , Schoolroom , 8 ; 26 , Neville Street , noon and 8 .",,,noon and 8,,"January 21, 1910"
"January 23, 1910",Fore Shore,"Sunday . - Demonstration , Fore Shore , Miss Maty Gawthorpe , Miss Marsden , Miss Robinson .",,"['Miss Maty Gawthorpe', 'Miss Marsden', 'Miss Robinson']",Sunday,,"January 21, 1910"
"January 24, 1910","Market Square, Loughborough","Next Monday a mass meeting will be held in the Market Square , Loughborough ; two plat- forms will be made , and Miss Adela Pankhurst , and Miss G. Brackenbury will be the chief speakers .",,"['Miss Adela Pankhurst', 'Miss G. Brackenbury']",Monday,,"January 21, 1910"
"January 21, 1910","Town Hall, Loughborough","Friday . Loughborough , Public Meeting , Town Hall , Miss Mary Gawthorpe , Miss D. Pethick ( Women only ) , 3.30 and 8 p.m.",,"['Miss Mary Gawthorpe', 'Miss D. Pethick']",3.30 and 8 p.m.,,"January 21, 1910"
"January 21, 1910","Manor Park Road, Harlesden","Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30",,['Miss Blundell'],6.30 p.m.,,"January 21, 1910"
"January 21, 1910","Roundwood Road, Harlesden","Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30 ; Harlesden , Roundwood Road , Miss Wyatt , 7.45",,['Miss Wyatt'],7.45 p.m.,,"January 21, 1910"
"January 21, 1910","Mortimer Road, Kensal Rise","Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30 ; Harlesden , Roundwood Road , Miss Wyatt , 7.45 ; Kensal Rise , Mortimer Road , Miss Free- man , 6.30",,['Miss Freeman'],6.30 p.m.,,"January 21, 1910"
"January 21, 1910","Pember Road, Kensal Rise","Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30 ; Harlesden , Roundwood Road , Miss Wyatt , 7.45 ; Kensal Rise , Mortimer Road , Miss Free- man , 6.30 ; Kensal Rise , Pember Road , Miss Auerbach , 7.30",,['Miss Auerbach'],7.30 p.m.,,"January 21, 1910"
"January 21, 1910","Brondesbury Road, Kilburn","Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30 ; Harlesden , Roundwood Road , Miss Wyatt , 7.45 ; Kensal Rise , Mortimer Road , Miss Free- man , 6.30 ; Kensal Rise , Pember Road , Miss Auerbach , 7.30 ; Kilburn , Brondesbury Road , Miss Wright , 8",,['Miss Wright'],8 p.m.,,"January 21, 1910"
"January 21, 1910","Messina Avenue, Kilburn","Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30 ; Harlesden , Roundwood Road , Miss Wyatt , 7.45 ; Kensal Rise , Mortimer Road , Miss Free- man , 6.30 ; Kensal Rise , Pember Road , Miss Auerbach , 7.30 ; Kilburn , Brondesbury Road , Miss Wright , 8 ; Kilburn , Messina Avenue , Miss Hickson , 6",,['Miss Hickson'],6 p.m.,,"January 21, 1910"
"January 21, 1910","Netherwood Place, Kilburn","Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30 ; Harlesden , Roundwood Road , Miss Wyatt , 7.45 ; Kensal Rise , Mortimer Road , Miss Free- man , 6.30 ; Kensal Rise , Pember Road , Miss Auerbach , 7.30 ; Kilburn , Brondesbury Road , Miss Wright , 8 ; Kilburn , Messina Avenue , Miss Hickson , 6 ; Kilburn , Netherwood Place , Miss M. Sheppard , 5.30",,['Miss M. Sheppard'],5.30 p.m.,,"January 21, 1910"
"January 21, 1910","Victoria Road, Kilburn","Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30 ; Harlesden , Roundwood Road , Miss Wyatt , 7.45 ; Kensal Rise , Mortimer Road , Miss Free- man , 6.30 ; Kensal Rise , Pember Road , Miss Auerbach , 7.30 ; Kilburn , Brondesbury Road , Miss Wright , 8 ; Kilburn , Messina Avenue , Miss Hickson , 6 ; Kilburn , Netherwood Place , Miss M. Sheppard , 5.30 ; Kilburn , Victoria Road , Mrs. Penn Gaskell , 3",,['Mrs. Penn Gaskell'],3 p.m.,,"January 21, 1910"
