Date,Location,Raw,Time,Description,Speakers,Issue date
"January 29, 1910","London, Clements Inn","Saturday, 29 .. Clements Inn, W.C.... Poster Parade ............................--",11 a.m.,,,"January 28, 1910"
"January 30, 1910","London, Wimbledon Common","Sunday, 30........Wimbledon Common ............. .",Not specified,,,"January 28, 1910"
"January 31, 1910","London, Queen's Hall","Monday, 31.... Queen’s Hall, At Home...........................",3 to 5,,,"January 28, 1910"
"January 31, 1910","London, Brixton","Brixton. St. Matthew’s Lit. and Deb. Society .....,....:...........",,St. Matthew’s Lit. and Deb. Society,,"January 28, 1910"
"February 1, 1910","London, Clapham","Tuesday, 1 .... Ciaphnm, St. Anne’s Club.............. .",,St. Anne’s Club,,"January 28, 1910"
"February 1, 1910","Eastbourne, Town Hall","Tuesday, February 1—Eastbourne, Miss Christabel Pankhurst, Miss Evelyn Sharp.",Not specified,,"['Miss Christabel Pankhurst', 'Miss Evelyn Sharp']","January 28, 1910"
"February 2, 1910","London, Campden Hill Square","Wednesday,2.. 2, Campden Hill Square, W., weekly meeting ............................ .",8 p.m.,,,"January 28, 1910"
"February 2, 1910","Wolverhampton, At Home","Wednesday, Feb. 2nd.— Erdington, Drawing-room Meeting, Miss Gindice Keevil, 3.30 n.m.: Wolverhampton. At Home. Miss Gladice Keevil, 8 p.m.",8 p.m.,,['Miss Gladice Keevil'],"January 28, 1910"
"February 2, 1910","London, Woolwich",Woolwich Congregational Church ..,,Congregational Church,,"January 28, 1910"
"February 3, 1910","London, Kensington","Thursday, 3....Kensington, At Home, 8, Victoria; Grove",4 to 6 p.m.,,,"January 28, 1910"
"February 3, 1910","London, St. James Hall","Thursday, 3.... St. James B Hall, Al Home..............",8 p.m.,,,"January 28, 1910"
"February 3, 1910","London, Crouch End","Crouch End, Assembly Rooms ..........",Not specified,,,"January 28, 1910"
"February 4, 1910","London, Criterion Restaurant","Fri*W,4.......... Criterion Restaurant, Grand Hall...",Not specified,Grand Hall,,"January 28, 1910"
"February 4, 1910",Birmingham,"Friday, Feb. 4th.—Bull Ring, 7 p.m.",7 p.m.,,,"January 28, 1910"
"February 4, 1910",Glasgow,"Friday, Feb. 4.—At Home, 502, Sauchiehall Street, Mrs. Drummond, 3 and 8.",3 and 8 p.m.,,['Mrs. Drummond'],"January 28, 1910"
"February 9, 1910",Dundee,"Wednesday, February 9. Social Meeting, Miss Ogston and Miss Hudson.",Not specified,,"['Miss Ogston', 'Miss Hudson']","January 28, 1910"
"February 15, 1910",London,"a special Women’s Mission shall take place in seven metropolitan centres under the auspices of the following London Unions:—Brixton, Lewisham, Chiswick, Fulham, Harrow, Croydon, and Kensington, from February 15th to the 19th.",,Women’s Mission in seven metropolitan centers,,"January 28, 1910"
"February 17, 1910","Liverpool, Walton Gaol","February 17—Walton Gaol, Release of Miss Selina Martin. 3 m.",3 m.,Release of Miss Selina Martin,,"January 28, 1910"
"February 17, 1910",Southport,February 17tb—Southport. Mr. Laurence Housman.,Not specified,,['Mr. Laurence Housman'],"January 28, 1910"
"February 18, 1910","Liverpool, Walton Gaol","February 18—Walton Gaol, Release of Miss Elsie Howey.",Not specified,Release of Miss Elsie Howey,,"January 28, 1910"
"February 18, 1910","Manchester, Onward Hall","February 18th—Manchester, Onward Hall, Deansgate, Mr. Laurence Housman, 8 p.m.",8 p.m.,,['Mr. Laurence Housman'],"January 28, 1910"
"February 23, 1910","Liverpool, Walton Gaol","February 23-Walton Gaol, Release of Miss Bertha Brewster.",Not specified,Release of Miss Bertha Brewster,,"January 28, 1910"
"February 24, 1910","Edinburgh, Synod Hall","February 24, Synod Hall, Mrs. Pethick Lawrence. .",Not specified,,['Mrs. Pethick Lawrence'],"January 28, 1910"
"February 25, 1910","Birmingham, Temperance Hall",February 25 Miss Mary Gawthorpe and Dr. Helena Jones will speak in the Temperance Hall.,Not specified,,"['Miss Mary Gawthorpe', 'Dr. Helena Jones']","January 28, 1910"
"March 7, 1910","Belfast, Ulster Hall","Miss Mary Gawthorpe has consented to address a meeting in the Ulster Hall on March 7, with the object of helping on the work of the local society and arousing general public interest in the cauro of Votes for Women.",Not specified,,['Miss Mary Gawthorpe'],"January 28, 1910"
"April 28, 1910","Glasgow, Charing Cross Halls","April 28 30.— Exhibition ana Sale of Work, Charing Cross Halls.",Not specified,Exhibition and Sale of Work,,"January 28, 1910"
