Date,Location,Raw,Speakers,Description,Time,Hosts,Issue date
"February 7, 1910","Queen's Hall, London","Lady Con- stance Lytton had her share to overflowing at the Queen's Hall on Monday last for what she has done in the wide sense for the whole of womanhood , and in a restricted sense in proving plainly the hypocrisy and the snobbery of the Government.",['Lady Constance Lytton'],,,,"February 4, 1910"
Eve of the poll at Harrow,"Kilburn Palace, Harrow","It would be difficult to conceive a better contrived electioneering engine than such a meeting , to take one instance in illustra- tion , as that held by Miss Pankhurst at the Kilburn Palace on the eve of the poll at Harrow . The theatre was packed with men and women in about equal proportions . In the chair was Miss Davison , who has several times been in prison for her cause , and only four days before had been awarded damages by Judge Parry against the Visiting Justices of the Strangeways Prison , Manchester , for the illegal use of the hose - pipe on her in prison . These two ladies held their audience spellbound for more than two hours , and had the whole theatre with them . The burden of every argument and the very spirit and essence of the whole meeting were contained in the words "" Vote against the Government and keep the Liberal out . ""","['Miss Pankhurst', 'Miss Davison']",,,,"February 4, 1910"
"February 15, 1910",London,"The mission in London will commence on February 15, and similar missions will be held in the provinces.",,Missions to Women. The intense interest of women in the crusade that is being waged on their behalf was so striking a feature of the recent Election campaign that it has been decided to hold special women's missions.,,,"February 4, 1910"
April 1910,Glasgow,"Further details of the Suffrage Exhibition and Sale of Work , to be held in Glasgow on the closing days of April , will be found on page 300.",,The Scottish Exhibition. All who have any time to spare are invited to devote it to helping the Scottish women Suf- fragists to prove by this exhibition the strength of the move- ment beyond the Border.,,,"February 4, 1910"
"February 4, 1910",Liverpool,"A great protest meeting is being held to - day in the Sun Hall at 8 pm . to express the indignation felt with regard to the treatment of Suffragist prisoners in Walton Gaol recently . Mrs. Pankhurst will address the meeting , and Lady Constance Lytton ( Jane Warton ) will tell the story of the Govern- ment's differential treatment of her while in prison at New- castle and at Liverpool .","['Mrs. Pankhurst', 'Lady Constance Lytton (Jane Warton)']",,8 pm . to - day,,"February 4, 1910"
"February 22, 1910","London, Court Theatre, Sloane Square","An important meeting will take place in the Court Theatre , Sloane Square , at 3 p.m. , on February 22. Mrs. Pethick Lawrence and Lady Constance Lytton will be the speakers.","['Mrs. Pethick Lawrence', 'Lady Constance Lytton']",,3 p.m.,,"February 4, 1910"
Unknown,Queen's Hall,"It contained a speech delivered at the Queen's Hall , in which the speaker called on her audience to obey the great call they had heard , and free women from their captivity .",[],,Unknown,,"February 4, 1910"
Unknown,the town,"The glass of the post office window fell in splinters at her feet , and the Cabinet Minister , who was driving through the town to hold a meeting there , is said to have remarked that the pluck of the Suffragettes was bound to win in time.",,,,,"February 4, 1910"
"February 7, 1910","Queen's Hall, London","Come to the Queen's Hall on Monday was all I had a chance to get in, so voluble was he.",,,,,"February 4, 1910"
"February 7, 1910","Lavender Hill, 23, Sugden Road","A workers ' meeting , will be held next Monday at 23 , Sugden Road , Lavender Hill , at 7.30 p.m. , to make arrangements , and members who can spare an hour are asked to be present , and to make every effort to secure the success of the mission .",,,7.30 p.m.,,"February 4, 1910"
"February 7, 1910","London, Committee Rooms","Preparations will commence next Mon- day at the Committee Rooms , which will be open from 10 a.m. daily .",,,10 a.m.,,"February 4, 1910"
"February 10, 1910","London, Committee Rooms",A weekly meeting ll be held in the Committee Rooms at 8 p.m. on Thursdays . This week Miss Una,['Una Dugdale'],,8 p.m.,,"February 4, 1910"
"February 14, 1910","London, Queen's Hall, Langham Place, W.","Monday , 14 .... Queen's Hall , Langham Place , W.","['Miss Christabel Pankhurst', 'Miss B. A. Smith', 'Mrs. Tanner']",,8 p.m.,,"February 4, 1910"
"February 14, 1910",Hornsey,The Woman's Mission begins here on February 14,['Miss Brackenbury'],,8 p.m.,,"February 4, 1910"
"February 15, 1910","Croydon, Public Hall","Tuesday , 15 .... Croydon , Public Hall",['Mrs. Cameron Swan'],,8 p.m.,,"February 4, 1910"
"February 15, 1910","Chiswick, shop","The Mission here will open with a meeting in the shop on Tuesday , February 15.",,,Afternoon and evening,,"February 4, 1910"
"February 15, 1910",North Kensington,In preparation for the Woman's Mission in North Kensington halls are being engaged there for women's meetings from February 15 onwards .,,hall meetings for women,,,"February 4, 1910"
"February 15, 1910","Chelsea, 278, King's Road",In connection with the Woman's Mission a series of evening meetings in the office will take place at 8.30 .. The speakers include Miss M. Sheppard and Mrs. Chapman,"['Miss M. Sheppard', 'Mrs. Chapman']",,8.30,,"February 4, 1910"
"February 15, 1910","London, Kensington, 2, Campden Hill Square, W.","Kensington , 2 , Campden Hill Square , W. , Open Meeting","['Miss Evelyn Sharp', 'Dr. Herbert Mills']",,8 p.m.,,"February 4, 1910"
"February 16, 1910","Brixton, Raleigh Hall, Saltoun Road","Wednesday , 16 Brixton , Raleigh Hall , Saltoun Road ( women only )","['Miss Christabel Pankhurst', 'Miss Mordan', 'Mrs. Brailsford']",,3-5 p.m.,,"February 4, 1910"
"February 16, 1910","Hornsey, Monteur St. L.C.C. School","Hornsey , Monteur St. L.C.C. School",['Miss Canning'],,8 p.m.,,"February 4, 1910"
"February 16, 1910","Chiswick, Devonshire Rooms or Mission Hall","After- noon and evening meetings in the shop , and evening meetings in Devonshire Rooms or Mission Hall on the 16th , 17th , and 18th",,,Evening,,"February 4, 1910"
"February 17, 1910","Brixton, Raleigh Hall","Thursday , 17 .. Brixton , Raleigh Hall ( women only )",['Miss G. Brackenbury'],,3-5 p.m.,,"February 4, 1910"
"February 17, 1910","Hornsey, Assembly Rooms, Middle Lane, Crouch End","Hornsey , Assembly Rooms , Middle Lane , Crouch End",['Miss F. M. Canning'],,8 p.m.,,"February 4, 1910"
"February 18, 1910","Brixton, Releigh Hall","Friday , 18 ...... Brixton , Releigh Hall ( women only ) ..",['Mrs. Brailsford'],,3-5 p.m.,,"February 4, 1910"
"February 18, 1910","London, Duncombe Road L.C.C. School",Duncombe Road L.C.C. School ..,['Mrs. Massy'],,8 p.m.,,"February 4, 1910"
"February 19, 1910","London, St. James's Hall, Great Portland Street, W.","Saturday , 19 .. St. James's Hall , Great Portland Street , W ..","['Mrs. Pankhurst', 'Miss Leslie Hall']",,8 p.m.,,"February 4, 1910"
"February 19, 1910","London, Brixton, Raleigh Hall","Brixton , Raleigh Hall ( women only ) ..",['Miss Joachim'],,3-5 p.m.,,"February 4, 1910"
"February 19, 1910","Chiswick, Town Hall","After- noon and evening meetings in the shop , and evening meetings in Devonshire Rooms or Mission Hall on the 16th , 17th , and 18th , will be followed by a Town Hall meeting on the 19th .",,,Evening,,"February 4, 1910"
"February 22, 1910","Chelsea, Court Theatre, Sloane Square","Tuesday , 22 .... Court Theatre , Sloane Square ( Chel- sea W.S.P.U. )","['Mrs. Pethick Lawrence', 'Lady Constance Lytton']",,3 p.m.,,"February 4, 1910"
