Date,Location,Raw,Hosts,Time,Speakers,Description,Issue date
"April 7, 1911","Barnes, 9a, High Street","April 7 ......... Barnes, 9a, High Street",['Miss Beldon'],3:30 p.m.,,,"April 7, 1911"
"April 7, 1911","London, 905, Fulham Road, S.W.","905, Fulham Road, S.W.........................",,8 p.m.,,,"April 7, 1911"
"April 7, 1911","Harlesden, Manor Park Road",Harle den. Manor Park Road .........,,8:30 p.m.,,,"April 7, 1911"
"April 7, 1911","Harrow Road, Prince of Wales (outside)","Harrow Road, Prince of Wales (out side)..... .. .........................",,7:30 p.m.,,,"April 7, 1911"
"April 7, 1911","Muswell Hill, near Athenzum","Muswell IliII, near Athenzum -.......",,3:15 p.m.,,,"April 7, 1911"
"April 7, 1911","Walthamstow, Pioneer Cafe, Hoe St.","Walthamstow, Pioneer Cafe. Hoe St.",,7 p.m.,,,"April 7, 1911"
"April 8, 1911","Balham, corner of Caistor Road","Saturday, 8 Balham, corner of Caistor Rond Hotel ....... ...... .................................",,8 p.m.,,,"April 7, 1911"
"April 8, 1911","Ilford, Balfour Road","Ilford, Balfour Rond........................",,5:30 p.m.,,,"April 7, 1911"
"April 8, 1911","Islington, Copenhagen Street",Islington. Copenhagen Street ........,,7:30 p.m.,,,"April 7, 1911"
"April 8, 1911","Kilburn, Birchington Road",Kilburn. Birchington Road .............,,7:30 p.m.,,,"April 7, 1911"
"April 8, 1911","Lewisham, Shop",Lewisham. Shop ..................... .......,,7:30 p.m.,,,"April 7, 1911"
"April 8, 1911","Lewisham, Rally",Lewisham. .. Rally...................,,7:30 p.m.,,,"April 7, 1911"
"April 8, 1911",Marble Arch,Marble Arch .....................................,,5.30 p.m.,,,"April 7, 1911"
"April 8, 1911","New Barnet, The Triangle",New Barnet. The Triangle........ .......,,7.30 p.m.,,,"April 7, 1911"
"April 8, 1911","Richmond, Fire Station","Richmond, Fire Station .......... .",,7.30 p.m.,,,"April 7, 1911"
"April 8, 1911","Uxbridge, Old Pump",Uxbridge. Old Pump ......... ...... ......,,7:30 p.m.,,,"April 7, 1911"
"April 8, 1911",Willesden Green Library,Willesden Green Library.................,,7:30 p.m.,,,"April 7, 1911"
"April 9, 1911",Hampstead Heath,"Sunday, 9 Hampstead Heath.............................",,7.30 p.m.,,,"April 7, 1911"
"April 9, 1911","Lewisham, Hilly Fields",Lewisham. Hilly Fields -.....-----------,,7.30 p.m.,,,"April 7, 1911"
"April 9, 1911",Wimbledon Common,Wimbledon Common ......... ........... .,,7.30 p.m.,,,"April 7, 1911"
"April 10, 1911","Hampstead Road, Cobden’s Statue","(Monday, 10 Hampstead Road.Cobden’s Statue...",,7:30 p.m.,,,"April 7, 1911"
"April 10, 1911",Highgate Hill Tram Terminus,Highgate Iill Tram Terninus. .....,,7:30 p.m.,,,"April 7, 1911"
