Date,Location,Raw,Time,Speakers,Description,Hosts,Issue date
"May 15, 1912",Old Bailey,"We remind our readers that the postponed Trial of the Leaders of the Women's Social and Political Union , will open at the Old Bailey next Wednes- day , May 15 , at 10.30 a.m.",10.30 a.m.,,,,"May 10, 1912"
1912-05-13,"London, Piccadilly Circus, London Pavilion","Our readers will be glad to know that they will have the pleasure of hearing Mr. Laurence Hous- man , that well - known friend of Suffragists , at the London Pavilion , Piccadilly Circus , on Monday next , May 13 , at 3.15 p.m. Mrs. Mansell - Moullin and Miss Annie Kenney will also speak .",3.15 p.m.,"['Mr. Laurence Housman', 'Mrs. Mansell-Moullin', 'Miss Annie Kenney']",,,"May 10, 1912"
1912-05-16,"London, Lower Seymour Street, Steinway Hall","The usual evening meeting at the Steinway Hall , Lower Seymour Street , on Thursday , May 16 , at 8 p.m. , will be addressed by Mrs. Massy and Mrs. Drummond . Both these meetings are held weekly and admission is free .",8 p.m.,"['Mrs. Massy', 'Mrs. Drummond']",,,"May 10, 1912"
1912-06-15,"London, Royal Albert Hall","Now preparations are going forward for a great Albert Hall Meeting on Saturday , June 15 . Much has happened within that time - much that has added a stain to British statesmanship , but yet the members of the W.S.P.U. , thinking of their beloved leaders , and their comrades in prison , are going for- ward with hope and confidence to make the thirteenth Albert Hall meeting the success the number denotes in the history of the W.S. P.U.",,,"Great Albert Hall Meeting on Saturday, June 15. Members should each and all come forward to take their share in the disposal of tickets",,"May 10, 1912"
"May 13, 1912",Aylesbury,"After this publicly - expressed opinion of the signatories to the petition ( to be pre- sented at the next Council meeting on May 13 ) , the Council will have no excuse for further refusal .",,,,,"May 10, 1912"
"May 10, 1912","4 , CLEMENT'S INN, STRAND, London","FRIDAY , MAY 10 , 1912 4 , CLEMENT'S INN , STRAND .",,,,,"May 10, 1912"
"May 6, 1912",London Pavilion,"MR . GEORGE LANSBURY , M.P. At the London Pavilion , May 6 . I should like to congratulate the people who have been carrying on the organisa- tion while the leaders have been harassed and imprisoned and generally driven from pillar to post . It is a good , healthy sign that the movement which the Women's Social and Political Union stands for has a real hold and backing amongst women , that you have been able to stand as deter- minedly as you have done all through this very trying period . doubtful indeed if a men's movement would have stood all the banging about that your movement has , and through it with such cheerful spirits as you have done . can can I am very come to people , It is a very strange commentary on what is being said in the House of Com- mons and in Ulster , that men like Sir Edward Carson and Lord Londonderry not merely stir up others to kill break windows, but and yet be honoured guests of the King .",,['Mr. George Lansbury'],,,"May 10, 1912"
"April 26, 1912",Unknown,"Hence the private Confer- ence called on April 26 by the Ladies ' National Association , in co - operation with a number of other associations , aroused great interest , and produced some impor- tant discussions . Two thoughts , that probably underlay every speech and that often came to the surface , were , first , the necessity of the equal moral standard ; and second , the conviction that progress will be far more swift and satisfactory when women have a share in law - making . The Shield , May 14 .",,,,,"May 10, 1912"
"May 10, 1912","4, Clement's Inn, W.C.","May . Friday , 10 4 , Clement's Inn , W.C. Speakers ' Class . Miss Rosa Leo",7.45 p.m.,,,,"May 10, 1912"
"May 10, 1912","Croydon, Katherine Street","Friday , 10 Croydon , Katherine Street Miss Heard , Miss Hardy",7.30 p.m.,,,,"May 10, 1912"
