Date,Location,Raw,Description,Time,Hosts,Speakers,Issue date
"September 3, 1908","Portman Rooms, London","In the metropolis the series of weekly At Homes "" com- Post Price 1d . Weekly . ( s ) mences to - night at the Portman Rooms , and will be car- ried on on Monday afternoons and Thursday evenings throughout the whole year.","Series of weekly At Homes, carried on on Monday afternoons and Thursday evenings throughout the whole year.",Thursday evenings,,,"September 3, 1908"
"September 3, 1908","Portman Rooms, London","In the metropolis the series of weekly At Homes "" com- Post Price 1d . Weekly . ( s ) mences to - night at the Portman Rooms , and will be car- ried on on Monday afternoons and Thursday evenings throughout the whole year.","Series of weekly At Homes, carried on on Monday afternoons and Thursday evenings throughout the whole year.",Monday afternoons,,,"September 3, 1908"
"September 3, 1908",Bristol,"In Bristol , under the leader- ship of Miss Annie Kenney , similar meetings have already commenced.",,,['Annie Kenney'],['Annie Kenney'],"September 3, 1908"
"September 3, 1908",Manchester,"In Manchester an active centre is being organised by Miss Mary Gawthorpe , and in Bradford and Birmingham Miss Adela Pankhurst and Miss Keevil are conducting vigorous and effective campaigns.",,,['Mary Gawthorpe'],['Mary Gawthorpe'],"September 3, 1908"
"September 3, 1908",Bradford,"In Manchester an active centre is being organised by Miss Mary Gawthorpe , and in Bradford and Birmingham Miss Adela Pankhurst and Miss Keevil are conducting vigorous and effective campaigns.",,,['Adela Pankhurst'],['Adela Pankhurst'],"September 3, 1908"
"September 3, 1908",Birmingham,"In Manchester an active centre is being organised by Miss Mary Gawthorpe , and in Bradford and Birmingham Miss Adela Pankhurst and Miss Keevil are conducting vigorous and effective campaigns.",,,['Keevil'],['Keevil'],"September 3, 1908"
1908-09-03,"Dorset-street, London","To - night ( Thursday ) , the first of the evening "" At Homes "" will be held in the small Portman Rooms , Dorset - street , from 8 to 10.",,8 to 10,,,"September 3, 1908"
1908-09-07,"Baker-street, London","The first of the afternoon "" At Homes "" will be held on Monday , September 7 , at 3 o'clock , in the large Portman Rooms , Baker - street .",,3 o'clock,,,"September 3, 1908"
1908-09-06,Rawtenstall,The next demonstration to take place will be at Rawtenstall next Sunday ( September 6 ) .,,,,,"September 3, 1908"
1908-09-19,"Durdham Down, Clifton (Bristol)","This will be followed on Saturday , September 19 , by a special demonstration on Durdham Down , Clifton ( Bristol )",,,,,"September 3, 1908"
1908-09-27,Huddersfield,"and on Sunday , September 27 , there will be a similar demonstration at Huddersfield .",,,,,"September 3, 1908"
1908-09-16,"Holloway, London","Arrangements are being completed for Wednesday , Sep- tember 16 , when four of the prisoners still in Holloway for taking part in the demonstration on June 30 will be released .","Release of Miss Haig, Miss Joachim, Miss Howey, and Miss Wentworth",8 a.m.,,"['Miss Haig', 'Miss Joachim', 'Miss Howey', 'Miss Wentworth']","September 3, 1908"
1908-09-16,"Queen's Hall, London",At Queen's Hall a special complimentary breakfast for the prisoners will be held .,Breakfast for the prisoners,9.15,,['Mrs. Pankhurst'],"September 3, 1908"
1908-09-18,"Holloway, London","Miss Mary Phillips , who has forfeited two days of the re- mission allowed to all prisoners of good behaviour owing to a slight infringement of prison discipline , will be released on Friday morning , September 18 , and arrangements are being made to welcome her at the prison gates that morning , par- ticulars of which will be announced later .",Release of Miss Phillips,,,['Miss Mary Phillips'],"September 3, 1908"
1908-09-18,"Baker-street, London","A special Reception has been arranged to take place on Friday , September 18 , in the large Portman Rooms , Baker- street , when it is hoped that all the prisoners recently released from Holloway will be present .",Reception for ex - Prisoners,,,,"September 3, 1908"
1908-10-29,"Albert Hall, London","A great meeting is to be held in the Albert Hall , on Thursday , October 29. Mrs. Pankhurst will be in the chair , and Mrs. Pethick Lawrence , Miss Christabel Pankhurst , and Miss Mary Gawthorpe will address the meeting .",,,,"['Mrs. Pankhurst', 'Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst', 'Miss Mary Gawthorpe']","September 3, 1908"
Unknown,Birmingham,Some of the domestic servants in Birmingham have decided to band together and form a servants ' branch of the National Federation of Women Workers .,Domestic servants in Birmingham are forming a servants' branch of the National Federation of Women Workers.,,,,"September 3, 1908"
Unknown,Summerstown,The girl box - makers now on strike at Summerstown are carrying on their fight with unabated vigour and determination .,Girl box-makers are on strike.,Now,,,"September 3, 1908"
Unknown,"8, Buckingham-street, Strand, W.C.","A register of vacancies is kept at the Association's office , 8 , Buckingham - street , Strand , W.C.",Association of Shorthand Writers and Typists vacancies.,,['Professor Michael E. Sadler'],,"September 3, 1908"
"September 16, 1908",Prison Yard,She is counting the days that must still elapse before she is released on Sep- tember 16 .,,,,,"September 3, 1908"
September 21 1908,"Clifton, Bristol, Victoria Rooms","""At Home "" cards for September 21 at the Victoria Rooms , when Mrs. Pankhurst will speak , can be obtained from 78 , Alma - road , Clifton , Bristol .",,Afternoon,,['Mrs. Pankhurst'],"September 3, 1908"
November 25 1908,"Manchester, Free Trade Hall","It is now settled that the great Man- chester demonstration shall take place in the Free Trade Hall on the evening of Wednesday , November 25.",,Evening,,"['Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst']","September 3, 1908"
September 06 1908,Rossendale Valley,"Several of the Manchester speakers will go out to the Rossen- dale Valley on Sunday next , September 6 , to assist Mrs. Baines , and the latter will be glad for as many other Manchester sympa- thisers to go out as possible .",,,,"['Mrs. Baines', 'Manchester speakers']","September 3, 1908"
September 08 1908,Liverpool,"Liverpool was quite ready for Mrs. Martel's advent on Mon- day , and , had prepared a brisk programme of events , opening with an At Home on Tuesday .",,,,['Mrs. Martel'],"September 3, 1908"
September 09 1908,Liverpool,"Liverpool was quite ready for Mrs. Martel's advent on Mon- day , and , had prepared a brisk programme of events , opening with an At Home on Tuesday . Among other places to be visited were Birkenhead and Southport.",,Afternoon,,['Mrs. Martel'],"September 3, 1908"
September 09 1908,Birkenhead,"Liverpool was quite ready for Mrs. Martel's advent on Mon- day , and , had prepared a brisk programme of events , opening with an At Home on Tuesday . Among other places to be visited were Birkenhead and Southport.",,,,['Mrs. Martel'],"September 3, 1908"
September 09 1908,Southport,"Liverpool was quite ready for Mrs. Martel's advent on Mon- day , and , had prepared a brisk programme of events , opening with an At Home on Tuesday . Among other places to be visited were Birkenhead and Southport.",,,,['Mrs. Martel'],"September 3, 1908"
September 12-13 1908,Harrogate,"Although preparations are in hand , I shall not begin the short special campaign until next week - end .",,,,,"September 3, 1908"
September 07 1908,"Bradford, Somerset Parlour","Monday , 4 to 6 , at Somerset Parlour , Bradford",,4 to 6,,,"September 3, 1908"
September 08 1908,"Huddersfield, Northumberland Street Schools","Tuesday , 8 to 10 , at Northumberland Street Schools , Huddersfield",,8 to 10,,,"September 3, 1908"
September 09 1908,"Leeds, Arts Club, Blenheim - terrace, Woodhouse - lane","Wednesday , 8 to 10 , Arts Club , Blenheim - terrace , Woodhouse - lane , Leeds",,8 to 10,,,"September 3, 1908"
September 12 1908,"Bradford, Duckworth- lane",Next week meetings have been arranged at Duckworth- lane ( Bradford ),,Night,,,"September 3, 1908"
September 12 1908,"Huddersfield, Thornton Lodge",Next week meetings have been arranged at  Thornton Lodge ( Huddersfield ),,Night,,,"September 3, 1908"
