Date,Location,Raw,Description,Time,Speakers,Hosts,Issue date
"November 26, 1908","Newcastle-on-Tyne, Exchange","Thur. 26 Newcastle-on-Tyne, Exchange, Open-air Meeting",Open-air Meeting,12 a.m.,,,"November 26, 1908"
"November 26, 1908","Keyham, Dock Gates","Keyham, Dock Gates",,12.30 p.m.,['Miss New'],,"November 26, 1908"
"November 26, 1908","Wood Green, Small Unity Hall","Wood Green,-Small Unity Hall",,2.45-4.15,['Miss Phillips'],,"November 26, 1908"
"November 26, 1908","Somerset Hall, Brentwood","Somerset Hall, Brentwood",,3 and 8.30,['Bowes Park W.S.P.U.'],,"November 26, 1908"
"November 26, 1908","Wolverhampton, Bath Assembly Rooms","Wolverhampton, Bath Assembly Rooms",,3.30 p.m.,['Miss Joachim'],,"November 26, 1908"
"November 26, 1908","Kensington, Drawing-room Mtg.","Kensington, Drawing-room Mtg.",,8 p.m.,"['Miss Keevil', 'Mrs. Shurmer Sibthorpe']",,"November 26, 1908"
"November 26, 1908","Billinghurst, Sussex","Billinghurst, Sussex",,8 p.m.,"['Miss Evelyn Sharp', 'Miss Brackenbury']",,"November 26, 1908"
"November 26, 1908","London, Small Queen’s Hall","London, Small Queen’s Hall",,8 p.m.,"['Mrs. Pethick Lawrence', 'Miss Sylvia Pankhurst']",,"November 26, 1908"
"November 26, 1908","Wyham-on-Tyne, The Institute","Wyham-on-Tyne, The Insti tute",,8 p.m.,"['Miss New', 'Mrs. Atkinson']",,"November 26, 1908"
"November 26, 1908","Plymouth, Market Place","Plymouth, Market Place",,8 p.m.,"['Miss Phillipa', 'Miss Elsie Howey']",['Chair: Hon. Mrs. Parsons'],"November 26, 1908"
"November 26, 1908","Edinburgh, Newhaven, Madras Hall","Edinburgh, Newhaven, Madras Hall",,8 p.m.,['Mrs. Rothwell'],,"November 26, 1908"
"November 26, 1908","Mosley, Debate","Mosley, Debate",,8 p.m.,['Miss Gladice Keevil'],,"November 26, 1908"
"November 26, 1908","Hackney, - League of ’ Young Liberals, School Room, Pembury Grove","Hackney, - League of ’ Young Liberals, School Room, Pembury Grove",,8.30 p.m.,['Miss Isabel Seymour'],,"November 26, 1908"
"November 27, 1908","Darlington, Temperance Institute, Gladstone Street","Fri. 27 Darlington, Temperance Insti tute, Gladstone Street",,3 p.m.,['Mrs. Rothwell'],,"November 26, 1908"
"November 27, 1908","Manchester, At Home, Onward Buildings, Deansgate","Manchester, At Home, Onward Buildings, Deansgate",,6 p.m.,"['Miss Mary Gawthorpe', 'Mrs. Martel']",,"November 26, 1908"
"November 27, 1908","Wallsend, Women’s Meeting, I.L.P. Inst.","Wallsend, Women’s Meeting, I.L.P. Inst.",,7 p.m.,"['Mrs. Michael', 'Miss Robinson', 'Miss Balls']",,"November 26, 1908"
"November 27, 1908","Wandsworth, East Hill","Wandsworth, East Hill",,7:30 p.m.,"['Miss Canning', 'Mrs. Penn Gaskell']",,"November 26, 1908"
