Date,Location,Raw,Speakers,Time,Issue date
"Friday, 31.","Bristol, Lewin’s Mead Unitrn. Chapel","Bristol, Lewin’s Mead Unitrn. Chapel Miss Kenney..................................",['Miss Kenney'],,"December 31, 1909"
"Friday, 31.","Narrow Weir, Outside Adlam’s","Narrow Weir, Outside Adlam’s ---- Miss Garnett.....................................",['Miss Garnett'],,"December 31, 1909"
"Friday, 31.",Armoury Square,Armoury Square ................ . ......... Dr. Jones ............. . .................,['Dr. Jones'],,"December 31, 1909"
"Friday, 31.","Fishponds, Station Rond","Fishponds, Station Road .............. Miss Barrett.................................. .",['Miss Barrett'],,"December 31, 1909"
"Friday, 31.","London—Kensul Town, Fifth Avenue and Kilburn Lane","London—Kensul Town, Fifth Avenue Miss Garnett..................................... and Kilburn Lane....................... :",['Miss Garnett'],,"December 31, 1909"
"Friday, 31.","Kensal Town, Hastlewood Crescent and Golborne Road","Kensal Town, Hastlewood Crescent Miss Liddle ..........•••.••.••••••. and Golborne Road ---............ ;",['Miss Liddle'],,"December 31, 1909"
"Friday, 31.","Kensal Town, Second Avenue and","Kensal Town, Second Avenue and Miss Hudson, Miss Naylor .......... -","['Miss Hudson', 'Miss Naylor']",,"December 31, 1909"
"Friday, 31.","Kensal Town, Third Avenue and","Kensal Town, Third Avenue and and Kilburn Lane....................... :",[],,"December 31, 1909"
"Saturday, 1","Bristol, Armoury Square","Bristol, Armoury Square.................. Miss Garnett..................................",['Miss Garnett'],,"December 31, 1909"
"Saturday, 1","Fishponds, Station Road","Fishponds, Station Road...............",[],,"December 31, 1909"
"Saturday, 1",Liverpool—Dingle,Liverpool—Dingle ........................... Miss Elesman: Miss Joachim! ..58,"['Miss Elesman', 'Miss Joachim']",,"December 31, 1909"
"Saturday, 1","London—Notting Hill, Small Lad-","London—Notting Hill, Small Lad- Miss Evelyn Sharp, H. W. Nevinson, Esq. Chair : Dr. L. Garrett Anderson","['Miss Evelyn Sharp', 'H. W. Nevinson']",7.30 p.m.,"December 31, 1909"
"Sunday, 2","Kensal Town, Hastlewood Crez","Kensal Town, Hastlewood Crez",[],,"December 31, 1909"
"Sunday, 2","Kensal Town, Third Avenue and","Kensal Town, Third Avenue and",[],,"December 31, 1909"
"Sunday, 2","Kensal Town, Filth Avenue and","Kensal Town, Filth Avenue and",[],,"December 31, 1909"
"Sunday, 2","Kensal Town, Second Avenue and","Kensal Town, Second Avenue and",[],,"December 31, 1909"
"Sunday, 2","Newcastle-on-Tyne, Haymarket","Newcastle-on-Tyne, Haymarket ----",[],,"December 31, 1909"
"Sunday, 2",Bigg Market,Bigg Market...............................,[],,"December 31, 1909"
"Sunday, 2",London—Wimbledon Common,London—Wimbledon Common.,,3 p.m.,"December 31, 1909"
"Monday, 3","Brighton, The Dome","Brighton, The Dome........................",['Miss Pankhurst'],8 p.m.,"December 31, 1909"
"Monday, 3","Bristol, Horsefair","Bristol, Horsefair ...............-..........",['Miss Kenney'],,"December 31, 1909"
"Monday, 3",Portland Square,Portland Square -.----...............,['Dr. Jones'],,"December 31, 1909"
"Monday, 3",Zetland Road,' Zetland Road.................................,['Miss Barrett'],,"December 31, 1909"
"Monday, 3",Armoury Square,Armoury Square .............. . .......... Dr. Jones........................... ...............,['Dr. Jones'],,"December 31, 1909"
"Monday, 3","Fishponds, Station Road","Fishponds, Station Road............... Miss Barrett.....................................",['Miss Barrett'],,"December 31, 1909"
"Monday, 3",Horsefair,Horsefair................... ............. .••■,['Miss Garnett'],,"December 31, 1909"
"Monday, 3","Liverpool, Exchange Fings","Liverpool, Exchange Fings ...............",[],,"December 31, 1909"
"Monday, 3",Ogden’s Gates,Ogden’s Gates .......................-----,[],,"December 31, 1909"
"Monday, 3",Wellington Column,Wellington Column ................... .,[],,"December 31, 1909"
"Monday, 3",Ding’e,Ding’e ..................................-----,[],,"December 31, 1909"
"Monday, 3","London—St. James’s Hall, At Home","London—St. James’s Hall, At Home Mrs. Pankhurst, Mrs. Pethick Law rence...........................................","['Mrs. Pankhurst', 'Mrs. Pethick Lawrence']",,"December 31, 1909"
"Tuesday, 4","Chelsen, Sloane Square","Chelsen, Sloane Square.................. Miss Kenney.....................................",['Miss Kenney'],7.30 p.m.,"December 31, 1909"
"Tuesday, 4",Chelsea Common,Chelsea Common..... ...........,['Dr. Jones'],7.30 p.m.,"December 31, 1909"
"Tuesday, 4","Chelsea, Caroline Place","Chelsea, Caroline Place. ................",['Miss Barrett'],7.30 p.m.,"December 31, 1909"
"Tuesday, 4","Chelsea, World's End","Chelsea, World's End ...........",['Dr. Jones'],7.30 p.m.,"December 31, 1909"
"Tuesday, 4","Chelsea, World's End, St. John’s Hall (Women)","Chelsea, World's End, St. John’s Hall (Women) .............. ....... .",['Miss Barrett'],7.30 p.m.,"December 31, 1909"
"Tuesday, 4","Kensal Road, Middle Row School","Kensal Road, Middle Row School. • Miss Garnett.....................................",['Miss Garnett'],,"December 31, 1909"
"Tuesday, 4","Kensal Town, Hastlewood Crescent and Go borne Road","Kensal Town, Hastlewood Crescent and Go borne Road..............","['Laurence Housman, Esq.', 'Miss Christabel Pankhurst']",,"December 31, 1909"
"Tuesday, 4","Kensal Town, Third Avenue and Harrow Road","Kensal Town, Third Avenue and Harrow Road..... : ..........","['Dr. F. Murray', 'Miss Naylor']",,"December 31, 1909"
"Tuesday, 4",N. Kensington Gas Works,N. Kensington Gas Works ........ .,"['Miss Kelly', 'Miss Barry']",,"December 31, 1909"
"Tuesday, 4","Newcastle-on-Tyne, Haymarket","Newcastle-on-Tyne, Haymarket ....","['Miss Canning', 'Mrs. Nesbit']",,"December 31, 1909"
